step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.245062,0.244697,0.011768,0.080165,0.217408,0.183816
1000,0.215134,0.239065,0.667047,0.147197,0.433571,0.232314
2000,0.213360,0.239231,0.613504,0.201142,0.480742,0.229660
3000,0.209057,0.238363,0.646601,0.168065,0.462309,0.239644
4000,0.209727,0.238558,0.636471,0.192426,0.477366,0.235835
5000,0.207975,0.239624,0.635832,0.184257,0.483461,0.238018
6000,0.216649,0.239403,0.648214,0.207801,0.489462,0.239874
7000,0.212042,0.239400,0.647216,0.203887,0.488714,0.239548
8000,0.215235,0.238947,0.625953,0.211422,0.501626,0.235865
9000,0.203800,0.238146,0.647261,0.206770,0.501128,0.246233
10000,0.203514,0.237953,0.652260,0.184025,0.479326,0.240434
11000,0.202052,0.238042,0.635660,0.210701,0.504349,0.240018
12000,0.213133,0.239668,0.650586,0.226552,0.507850,0.243927
13000,0.203747,0.238937,0.634096,0.231057,0.510980,0.238817
14000,0.200735,0.239186,0.638056,0.228548,0.509447,0.239512
15000,0.192801,0.239134,0.634577,0.257407,0.515882,0.236470
16000,0.186501,0.238908,0.639910,0.315398,0.540082,0.242074
17000,0.183741,0.238826,0.627566,0.292024,0.529011,0.239242
18000,0.179142,0.239126,0.618099,0.337101,0.566037,0.239989
19000,0.192404,0.238904,0.614597,0.408584,0.591316,0.246109
20000,0.136374,0.238226,0.651788,0.373711,0.545401,0.239947
21000,0.203047,0.238779,0.642425,0.308977,0.538590,0.244275
22000,0.184172,0.239763,0.627926,0.434980,0.577997,0.243085
23000,0.131274,0.238995,0.630210,0.429588,0.586758,0.246145
24000,0.149638,0.238575,0.646576,0.252992,0.518182,0.242641
25000,0.130606,0.239261,0.619198,0.466253,0.599115,0.241708
26000,0.112347,0.239951,0.620332,0.440245,0.603775,0.245184
27000,0.136534,0.238855,0.611093,0.492748,0.622668,0.245531
28000,0.151881,0.239304,0.632851,0.409228,0.567382,0.244479
29000,0.144686,0.239124,0.642884,0.363863,0.554605,0.243384
30000,0.125400,0.238719,0.620587,0.535294,0.622620,0.244692
31000,0.115801,0.238769,0.620509,0.476349,0.598478,0.244256
32000,0.135110,0.238618,0.624867,0.486387,0.607344,0.245328
33000,0.135650,0.238908,0.637966,0.392520,0.581744,0.245650
34000,0.152999,0.239390,0.596490,0.681145,0.681204,0.249259
35000,0.098101,0.237855,0.632031,0.391834,0.575701,0.245620
36000,0.056704,0.238488,0.626309,0.500675,0.614121,0.247505
37000,0.103168,0.236835,0.635796,0.313604,0.567921,0.254091
38000,0.129982,0.238289,0.636590,0.444338,0.594326,0.250230
39000,0.152025,0.240417,0.606417,0.491486,0.626843,0.249236
40000,0.102959,0.239276,0.617575,0.483629,0.605945,0.247879
41000,0.166036,0.238733,0.637023,0.493689,0.621915,0.253979
42000,0.101473,0.238051,0.591917,0.696700,0.706263,0.256207
43000,0.041566,0.238502,0.622421,0.476739,0.613374,0.250058
44000,0.123789,0.239508,0.612868,0.495252,0.658079,0.257605
45000,0.020474,0.238544,0.635777,0.395453,0.586556,0.254859
46000,0.076580,0.237541,0.642189,0.436248,0.598092,0.254421
47000,0.075021,0.237577,0.607102,0.438254,0.622048,0.249542
48000,0.124569,0.238112,0.627380,0.465767,0.630583,0.258151
49000,0.141377,0.238884,0.605458,0.588811,0.647958,0.252484
50000,0.141721,0.238451,0.613834,0.609052,0.642033,0.250348
51000,0.129912,0.238479,0.621248,0.556541,0.652567,0.258204
52000,0.134993,0.238416,0.626072,0.490294,0.622520,0.256707
53000,0.141948,0.238489,0.626579,0.438466,0.592597,0.251853
54000,0.132890,0.238720,0.543443,0.633316,0.675836,0.242532
55000,0.071671,0.238758,0.592662,0.490061,0.615231,0.246699
56000,0.107591,0.239579,0.608599,0.534880,0.641472,0.255656
57000,0.103915,0.239605,0.625749,0.543660,0.631795,0.256399
58000,0.029624,0.238566,0.639591,0.369968,0.560713,0.248549
59000,0.057287,0.239007,0.580527,0.660713,0.664002,0.248925
60000,0.021069,0.238356,0.596076,0.607397,0.630139,0.243434
61000,0.080117,0.238146,0.603669,0.439335,0.590038,0.250710
62000,0.148043,0.238973,0.555839,0.613154,0.657797,0.249545
63000,0.072706,0.238843,0.590415,0.491358,0.609493,0.256099
64000,0.122729,0.238358,0.600688,0.624147,0.648837,0.257561
65000,0.191128,0.238868,0.601892,0.581568,0.647645,0.251293
66000,0.180117,0.238873,0.607839,0.522905,0.618677,0.253427
67000,0.049489,0.238605,0.624581,0.434706,0.580999,0.251383
68000,-0.015188,0.238687,0.611974,0.504078,0.590099,0.248939
69000,0.076938,0.237028,0.605847,0.512085,0.606851,0.249987
70000,0.107427,0.238312,0.639714,0.536298,0.591602,0.252979
71000,0.144755,0.240108,0.601209,0.500343,0.590544,0.252372
72000,0.093491,0.236991,0.619544,0.589393,0.617340,0.253014
73000,0.096601,0.117990,0.591007,0.465348,0.578602,0.246430
74000,-0.020263,0.238072,0.604873,0.503670,0.586011,0.247078
75000,0.119041,0.238075,0.611838,0.433732,0.557361,0.246341
76000,0.131700,0.238918,0.585835,0.510490,0.611166,0.251123
77000,0.114646,0.238246,0.601101,0.488182,0.597627,0.244753
78000,0.069863,0.237463,0.591516,0.491706,0.588498,0.250267
79000,0.156951,0.238550,0.589512,0.482217,0.582678,0.242994
80000,0.137425,0.237588,0.603497,0.434076,0.552566,0.246268
81000,0.133957,0.238718,0.595177,0.459506,0.575285,0.247095
82000,0.132110,0.239286,0.582570,0.580072,0.639279,0.250981
83000,0.030750,0.240024,0.599562,0.552370,0.599927,0.247872
84000,0.036164,0.239125,0.619827,0.604055,0.610412,0.250291
85000,0.038129,0.237416,0.597853,0.542180,0.595840,0.248252
86000,0.080922,0.237943,0.595542,0.570653,0.628473,0.252427
87000,0.013334,0.111918,0.613177,0.486746,0.577959,0.254304
88000,0.117098,0.238138,0.607178,0.455822,0.569191,0.254006
89000,0.063869,0.238216,0.597762,0.547307,0.595200,0.259479
90000,0.090900,0.239205,0.588296,0.507415,0.607196,0.255887
91000,0.163413,0.237280,0.590166,0.487589,0.590977,0.255539
92000,0.074136,0.238110,0.598831,0.504865,0.597141,0.256999
93000,0.092056,0.238741,0.598259,0.452536,0.569054,0.254619
94000,0.136876,0.238116,0.582866,0.444044,0.566663,0.257760
95000,-0.019185,0.148184,0.568703,0.519200,0.597853,0.252672
96000,0.105852,0.237334,0.604976,0.423229,0.563347,0.255400
97000,0.129776,0.651311,0.583514,0.815184,0.561244,0.283107
98000,0.095869,0.238384,0.602427,0.509819,0.601436,0.251027
99000,0.127862,0.238076,0.588452,0.430736,0.578502,0.254069
100000,0.072943,0.239236,0.602420,0.460141,0.569329,0.250165
101000,0.084846,0.239598,0.610083,0.435487,0.563557,0.255004
102000,0.099078,0.240870,0.591371,0.446011,0.573519,0.253677
103000,0.069951,0.183271,0.581952,0.555136,0.598251,0.246573
104000,0.050302,0.111473,0.578748,0.593656,0.625127,0.245921
105000,0.081747,0.237635,0.583387,0.428733,0.552662,0.243715
106000,0.092396,0.237859,0.600130,0.417506,0.549551,0.244082
107000,0.106899,0.238807,0.572532,0.499519,0.583822,0.253066
108000,0.133310,0.239125,0.558719,0.587902,0.615196,0.246227
109000,0.118609,0.239321,0.594858,0.541185,0.574530,0.245700
110000,0.159949,0.238558,0.563284,0.462188,0.576213,0.245161
111000,0.082958,0.240271,0.552203,0.623529,0.621324,0.245201
112000,0.019610,0.238045,0.577680,0.524910,0.576052,0.247016
113000,0.109936,0.239518,0.566413,0.448915,0.565157,0.246476
114000,0.069253,0.240917,0.568654,0.499627,0.569477,0.247218
115000,0.073062,0.129644,0.556928,0.489998,0.568947,0.244098
116000,-0.020452,0.238155,0.583059,0.555241,0.581848,0.246192
117000,0.061945,0.238554,0.570470,0.466658,0.563456,0.245096
118000,0.145663,0.238107,0.552029,0.482001,0.565275,0.243224
119000,0.745037,0.238519,0.537269,0.611474,0.619459,0.245684
120000,0.054524,0.239590,0.543616,0.601661,0.603164,0.243326
121000,0.073015,0.238566,0.530839,0.596268,0.617526,0.245910
122000,0.017189,0.239449,0.559020,0.440358,0.553556,0.240432
123000,0.128111,0.237664,0.545616,0.402896,0.537685,0.242710
124000,0.146928,0.239684,0.524537,0.591129,0.624545,0.242888
125000,0.026827,0.239204,0.536402,0.476757,0.571266,0.241105
126000,0.131031,0.237947,0.548016,0.552163,0.598233,0.247492
127000,0.126348,0.239440,0.537188,0.501671,0.585019,0.244383
128000,0.059588,0.113096,0.551068,0.511988,0.582650,0.245086
129000,0.088412,0.238631,0.551584,0.527500,0.596820,0.248511
130000,0.138956,0.241226,0.567093,0.485338,0.572272,0.249868
131000,0.052177,0.238280,0.567651,0.531828,0.585525,0.247284
132000,0.161827,0.238394,0.514661,0.716788,0.661871,0.249148
133000,0.163445,0.238324,0.525338,0.664235,0.645725,0.246252
134000,0.067280,0.114532,0.559251,0.452352,0.566530,0.246423
135000,0.116281,0.238243,0.553386,0.647783,0.630051,0.251311
136000,0.174543,0.237796,0.574381,0.430183,0.546743,0.247347
137000,0.048363,0.238670,0.570180,0.453460,0.557505,0.239891
138000,0.076613,0.239698,0.561378,0.504091,0.576274,0.248929
139000,0.075273,0.238461,0.592384,0.384616,0.513159,0.249746
140000,0.110959,0.112018,0.552815,0.458502,0.572749,0.249308
141000,0.069128,0.238516,0.570121,0.501732,0.567180,0.242889
142000,0.109624,0.238814,0.533816,0.485945,0.578684,0.251154
143000,0.252822,0.307693,0.547431,0.418200,0.551658,0.246467
144000,0.135597,0.237915,0.528137,0.535504,0.595352,0.249007
145000,0.080379,0.237427,0.515681,0.680414,0.652288,0.246105
146000,0.035764,0.239171,0.522750,0.524368,0.587012,0.246940
147000,0.106250,0.237800,0.549144,0.517221,0.578454,0.246143
148000,0.041150,0.238082,0.507243,0.565105,0.621248,0.248006
149000,0.141566,0.238490,0.538988,0.533137,0.591098,0.245181
150000,0.059456,0.237507,0.558780,0.440733,0.553552,0.245620
151000,0.235469,0.237977,0.515840,0.563518,0.613347,0.252028
152000,0.014769,0.004125,0.552248,0.507313,0.570128,0.246682
153000,0.106856,0.239014,0.553460,0.434501,0.536424,0.244463
154000,0.010220,0.112918,0.534452,0.498741,0.567002,0.243700
155000,0.069250,0.240352,0.540403,0.461603,0.562605,0.243943
156000,0.121365,0.239356,0.515918,0.550520,0.604878,0.248218
157000,0.132649,0.237209,0.537361,0.488829,0.569989,0.245682
158000,0.052791,0.111434,0.532552,0.489268,0.572114,0.250893
159000,0.103799,0.238321,0.537398,0.566881,0.612586,0.250552
160000,0.029978,0.138879,0.532072,0.480040,0.568229,0.248775
161000,0.017225,0.239744,0.536928,0.548801,0.598940,0.250694
162000,0.024428,0.236619,0.546513,0.519535,0.580130,0.248606
163000,0.064129,0.238039,0.545387,0.405803,0.541637,0.245032
164000,-0.037880,0.238331,0.531447,0.494269,0.585653,0.243536
165000,-0.018905,0.111906,0.522482,0.591125,0.609007,0.247063
166000,0.000090,0.147795,0.557108,0.452798,0.546513,0.247487
167000,0.046003,0.136934,0.543772,0.585617,0.601226,0.247251
168000,0.126920,0.240111,0.534225,0.480356,0.568808,0.251475
169000,0.052841,0.239671,0.516487,0.521002,0.586668,0.248192
170000,0.094201,0.238514,0.544124,0.508091,0.583769,0.247601
171000,-0.022939,0.238481,0.546513,0.570624,0.605115,0.249772
172000,0.108596,0.236724,0.539292,0.547034,0.590916,0.246153
173000,0.087142,0.238560,0.570333,0.429496,0.535734,0.247616
174000,0.022563,0.238468,0.533476,0.581906,0.621059,0.251679
175000,0.091765,0.239036,0.550690,0.439992,0.552840,0.251928
176000,0.071677,0.237786,0.564056,0.449124,0.556376,0.250106
177000,0.103053,0.238289,0.563333,0.571490,0.592835,0.248773
178000,0.008380,0.238793,0.560786,0.431490,0.554266,0.248599
179000,0.108473,0.219921,0.549547,0.533839,0.594724,0.246127
