
=== OneRoom  lagrange_mult=0.001  (20260802_232246) ===
150000-155000   0.4042          5    
155000-160000   0.2920          5    
160000-165000   0.2477          5    
165000-170000   0.3243          5    
170000-175000   0.3673          5    
175000-180000   0.3673          5    
180000-185000   0.4318          5    
185000-190000   0.3101          5    
190000-195000   0.3535          5    
195000-200000   0.4117          5    
200000-205000   0.3651          5    
205000-210000   0.3720          5    
210000-215000   0.3007          5    
215000-220000   0.4113          5    
220000-225000   0.3754          5    
225000-230000   0.3357          5    
230000-235000   0.3804          5    
235000-240000   0.2704          5    
240000-245000   0.3851          5    
245000-250000   0.3796          5    
250000-255000   0.3226          5    
255000-260000   0.2152          5    
260000-265000   0.3116          5    
265000-270000   0.3661          5    
270000-275000   0.2977          5    
275000-280000   0.3929          5    
280000-285000   0.2732          5    
285000-290000   0.3752          5    
290000-295000   0.2884          5    
295000-300000   0.3807          5    

=== OneRoom  lagrange_mult=0.3  (20260802_232246) ===
steps           avg loss_total  n    
     0-5000     0.4661          6    
  5000-10000    0.4508          5    
 10000-15000    0.4477          5    
 15000-20000    0.4430          5    
 20000-25000    0.4363          5    
 25000-30000    0.4327          5    
 30000-35000    0.4313          5    
 35000-40000    0.4201          5    
 40000-45000    0.4053          5    
 45000-50000    0.4337          5    
 50000-55000    0.4144          5    
 55000-60000    0.4361          5    
 60000-65000    0.4153          5    
 65000-70000    0.4061          5    
 70000-75000    0.4090          5    
 75000-80000    0.4206          5    
 80000-85000    0.3750          5    
 85000-90000    0.3937          5    
 90000-95000    0.4160          5    
 95000-100000   0.3471          5    
100000-105000   0.4069          5    
105000-110000   0.4333          5    
110000-115000   0.3821          5    
115000-120000   0.3490          5    
120000-125000   0.3787          5    
125000-130000   0.3742          5    
130000-135000   0.4084          5    
135000-140000   0.2793          5    
140000-145000   0.3790          5    
145000-150000   0.4157          5    
150000-155000   0.3889          5    
155000-160000   0.4282          5    
160000-165000   0.3949          5    
165000-170000   0.2576          5    
170000-175000   0.2682          5    
175000-180000   0.3294          5    
180000-185000   0.3206          5    
185000-190000   0.9029          5    
190000-195000   0.3548          5    
195000-200000   0.3188          5    
200000-205000   0.3375          5    
205000-210000   0.3285          5    
210000-215000   0.3499          5    
215000-220000   0.3263          5    
220000-225000   0.9452          5    
225000-230000   0.2678          5    
230000-235000   0.4080          5    
235000-240000   0.2450          5    
240000-245000   0.5124          5    
245000-250000   0.2149          5    
250000-255000   0.3837          5    
255000-260000   0.2668          5    
260000-265000   0.4044          5    
265000-270000   0.3687          5    
270000-275000   0.2858          5    
275000-280000   0.3757          5    
280000-285000   0.4044          5    
285000-290000   0.3729          5    
290000-295000   0.3616          5    
295000-300000   0.2856          5    

=== OneRoom  lagrange_mult=0.5  (20260802_232246) ===
steps           avg loss_total  n    
     0-5000     0.4609          6    
  5000-10000    0.4511          5    
 10000-15000    0.4566          5    
 15000-20000    0.4416          5    
 20000-25000    0.4382          5    
 25000-30000    0.4275          5    
 30000-35000    0.4283          5    
 35000-40000    0.4041          5    
 40000-45000    0.4183          5    
 45000-50000    0.4309          5    
 50000-55000    0.4404          5    
 55000-60000    0.4327          5    
 60000-65000    0.4043          5    
 65000-70000    0.4297          5    
 70000-75000    0.4340          5    
 75000-80000    0.4118          5    
 80000-85000    0.3088          5    
 85000-90000    0.3128          5    
 90000-95000    0.4199          5    
 95000-100000   0.3212          5    
100000-105000   0.3572          5    
105000-110000   0.4073          5    
110000-115000   0.4339          5    
115000-120000   0.4212          5    
120000-125000   0.3236          5    
125000-130000   0.3970          5    
130000-135000   0.3403          5    
135000-140000   0.3937          5    
140000-145000   0.6562          5    
145000-150000   0.3368          5    
150000-155000   0.3519          5    
155000-160000   0.3891          5    
160000-165000   0.3298          5    
165000-170000   0.8295          5    
170000-175000   0.3477          5    
175000-180000   0.3273          5    
180000-185000   0.3848          5    
185000-190000   0.2315          5    
190000-195000   0.3238          5    
195000-200000   0.2981          5    
200000-205000   0.3409          5    
205000-210000   0.3241          5    
210000-215000   0.3597          5    
215000-220000   0.3814          5    
220000-225000   0.3815          5    
225000-230000   0.2804          5    
230000-235000   0.5516          5    
235000-240000   0.3191          5    
240000-245000   0.2797          5    
245000-250000   0.3362          5    
250000-255000   0.2930          5    
255000-260000   0.3731          5    
260000-265000   0.2003          5    
265000-270000   0.2941          5    
270000-275000   0.4188          5    
275000-280000   0.4737          5    
280000-285000   0.2567          5    
285000-290000   0.7183          5    
290000-295000   0.3449          5    
295000-300000   0.3288          5    

=== OneRoom  lagrange_mult=0.9  (20260802_232246) ===
steps           avg loss_total  n    
     0-5000     0.4625          6    
  5000-10000    0.4607          5    
 10000-15000    0.4531          5    
 15000-20000    0.4513          5    
 20000-25000    0.4342          5    
 25000-30000    0.4065          5    
 30000-35000    0.4128          5    
 35000-40000    0.4092          5    
 40000-45000    0.4116          5    
