step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.249331,0.242774,0.053993,0.055616,0.134742,0.200162
1000,0.222295,0.239543,0.611309,0.114699,0.378010,0.235866
2000,0.215687,0.238726,0.598458,0.178948,0.459130,0.238973
3000,0.208450,0.238481,0.600482,0.184993,0.461451,0.233649
4000,0.213374,0.239136,0.585704,0.219904,0.496062,0.235631
5000,0.209658,0.238780,0.615764,0.187580,0.468481,0.234943
6000,0.209817,0.239798,0.597627,0.199958,0.482841,0.236958
7000,0.209297,0.239332,0.603694,0.215530,0.494100,0.241093
8000,0.211142,0.239934,0.623268,0.190464,0.474733,0.239524
9000,0.215211,0.239706,0.632270,0.197546,0.474941,0.238923
10000,0.205997,0.237615,0.621682,0.208527,0.493463,0.244290
11000,0.215917,0.238995,0.607968,0.222259,0.500463,0.236133
12000,0.205869,0.238898,0.627822,0.186304,0.466314,0.240002
13000,0.207935,0.238608,0.613134,0.244222,0.512507,0.241235
14000,0.192138,0.238688,0.605408,0.244272,0.517473,0.240885
15000,0.202845,0.238985,0.601885,0.242057,0.518539,0.239779
16000,0.192911,0.238506,0.611166,0.242920,0.510666,0.241760
17000,0.187682,0.237709,0.613702,0.245431,0.501346,0.237623
18000,0.189575,0.238941,0.593366,0.306866,0.556849,0.243108
19000,0.180334,0.239657,0.569107,0.296845,0.547588,0.238078
20000,0.192419,0.238934,0.609421,0.318870,0.547344,0.242113
21000,0.140099,0.238627,0.582610,0.408542,0.584378,0.241354
22000,0.166030,0.239286,0.588138,0.516935,0.625710,0.248376
23000,0.132500,0.238374,0.609126,0.394783,0.568924,0.244800
24000,0.186647,0.238554,0.583811,0.434174,0.593466,0.241355
25000,0.165934,0.237426,0.564605,0.471439,0.623914,0.245819
26000,0.122671,0.238980,0.588220,0.476646,0.616680,0.243197
27000,0.142160,0.239629,0.596182,0.454417,0.594177,0.245095
28000,0.210294,0.238466,0.593774,0.352137,0.566633,0.243769
29000,0.165805,0.240102,0.569445,0.609790,0.674722,0.246491
30000,0.169485,0.238048,0.578426,0.457452,0.622342,0.245252
31000,0.138971,0.238603,0.614879,0.467337,0.598127,0.249053
32000,0.131721,0.237292,0.592409,0.553697,0.640121,0.247002
33000,0.145628,0.239387,0.582840,0.560118,0.659608,0.253821
34000,0.139385,0.239342,0.572300,0.556527,0.654559,0.247493
35000,0.131689,0.237405,0.620856,0.519076,0.601105,0.246640
36000,0.074326,0.237992,0.595322,0.455083,0.617585,0.250704
37000,0.120698,0.239647,0.590570,0.604055,0.664972,0.250745
38000,0.119141,0.237896,0.618891,0.395915,0.579950,0.250820
39000,0.189246,0.241495,0.616255,0.446203,0.606286,0.256249
40000,0.113099,0.238465,0.610221,0.494149,0.614784,0.246205
41000,0.071557,0.238597,0.599915,0.538113,0.640744,0.250890
42000,0.112708,0.237236,0.611420,0.517199,0.630583,0.251740
43000,0.120377,0.239290,0.603558,0.442189,0.587871,0.247172
44000,0.119642,0.240051,0.557312,0.670169,0.675330,0.251070
45000,0.118427,0.237708,0.556349,0.616233,0.661710,0.246992
46000,0.071432,0.237487,0.594797,0.543393,0.608073,0.243628
47000,0.071675,0.238133,0.567820,0.505277,0.619510,0.247341
48000,0.061647,0.238684,0.593968,0.444031,0.589899,0.242621
49000,0.092128,0.238794,0.590720,0.569273,0.635040,0.252504
50000,0.638228,0.237725,0.564294,0.623163,0.651577,0.250261
0.5867658853530884
