step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.050727,0.052338,0.279522,0.055242,0.182133,0.207344
1000,0.047853,0.047853,0.999983,0.000002,0.224747,0.224468
2000,0.047853,0.047853,0.999979,0.000002,0.224053,0.224428
3000,0.046293,0.048480,0.971853,0.006197,0.284750,0.248599
4000,0.045719,0.046669,0.992298,0.001498,0.297044,0.283531
5000,0.044106,0.047141,0.977335,0.009222,0.355362,0.305328
6000,0.043957,0.045824,0.980408,0.006979,0.349950,0.308488
7000,0.043341,0.046415,0.951604,0.013417,0.356275,0.306381
8000,0.042774,0.045706,0.956024,0.020340,0.401172,0.332803
9000,0.042700,0.045896,0.956476,0.017557,0.371900,0.310150
10000,0.043089,0.046286,0.957248,0.017656,0.389672,0.324042
11000,0.042670,0.046429,0.958204,0.016990,0.377398,0.316291
12000,0.042317,0.045461,0.961277,0.017484,0.386676,0.319842
13000,0.042689,0.046520,0.957512,0.018536,0.394598,0.332235
14000,0.042370,0.046189,0.959822,0.017658,0.392706,0.328730
15000,0.042923,0.046346,0.957298,0.017707,0.392671,0.327510
16000,0.042801,0.046416,0.959661,0.017345,0.393377,0.329687
17000,0.042746,0.046474,0.964193,0.014919,0.377445,0.321383
18000,0.043561,0.046379,0.953261,0.020614,0.397003,0.329601
19000,0.042715,0.045847,0.961803,0.016026,0.385105,0.322986
20000,0.042369,0.045667,0.963152,0.015923,0.387500,0.329748
21000,0.042849,0.047126,0.968790,0.015130,0.392658,0.336890
22000,0.042238,0.046256,0.962101,0.020916,0.406768,0.342773
23000,0.042537,0.047335,0.949123,0.025534,0.410059,0.335361
24000,0.042585,0.046345,0.950950,0.023400,0.400302,0.331232
25000,0.041200,0.045231,0.954247,0.024269,0.408508,0.337607
26000,0.041281,0.045037,0.959040,0.022771,0.406494,0.346165
27000,0.040847,0.045718,0.951362,0.029739,0.416826,0.344704
28000,0.040549,0.045856,0.947246,0.029829,0.413627,0.336685
29000,0.040151,0.046413,0.947891,0.031389,0.421309,0.341459
30000,0.039902,0.046066,0.949806,0.032645,0.428386,0.345909
31000,0.039623,0.045963,0.948881,0.034956,0.422643,0.344775
32000,0.040150,0.045018,0.949335,0.034613,0.434340,0.355900
33000,0.039075,0.046281,0.938630,0.037871,0.425967,0.340520
34000,0.040252,0.045830,0.951083,0.037786,0.443490,0.359145
35000,0.038936,0.046083,0.948560,0.034423,0.432714,0.354491
36000,0.039166,0.044258,0.957690,0.027798,0.427225,0.356413
37000,0.040145,0.045943,0.952049,0.038583,0.447608,0.365903
38000,0.039055,0.045842,0.944008,0.041471,0.441995,0.356995
39000,0.039162,0.044611,0.950555,0.032037,0.434366,0.355629
40000,0.039720,0.044358,0.951517,0.028224,0.412311,0.343394
41000,0.039512,0.045697,0.949100,0.037469,0.446511,0.360969
42000,0.038842,0.046618,0.948018,0.035346,0.440218,0.358583
43000,0.039366,0.045385,0.951385,0.034810,0.434223,0.356978
44000,0.039220,0.045787,0.953128,0.030890,0.428312,0.352625
45000,0.039083,0.044828,0.952415,0.028608,0.432110,0.358759
46000,0.039107,0.046038,0.949488,0.036265,0.441028,0.364104
47000,0.039008,0.044881,0.955311,0.028057,0.424662,0.352628
48000,0.039164,0.044713,0.947158,0.039568,0.443557,0.358970
49000,0.039368,0.046616,0.948951,0.037832,0.443489,0.362031
50000,0.039551,0.045459,0.957078,0.027244,0.429072,0.354452
0.9509543776512146
