step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.051151,0.051145,-0.165521,0.070419,0.164544,0.182620
1000,0.047853,0.047853,0.996931,0.000310,0.224670,0.224725
2000,0.047853,0.047853,0.999955,0.000005,0.224758,0.224458
3000,0.046054,0.047853,0.760062,0.045312,0.305288,0.224892
4000,0.045826,0.046704,0.951338,0.010704,0.299849,0.277956
5000,0.044207,0.046855,0.855659,0.041372,0.351517,0.281437
6000,0.043019,0.047367,0.796824,0.074548,0.394339,0.284898
7000,0.043024,0.046549,0.793396,0.075597,0.397335,0.285710
8000,0.042977,0.046659,0.826455,0.056252,0.380397,0.278660
9000,0.043648,0.046368,0.867223,0.053624,0.401652,0.295089
10000,0.042680,0.046364,0.881066,0.046486,0.386936,0.297612
11000,0.041837,0.047149,0.857469,0.053748,0.390698,0.292045
12000,0.042381,0.046605,0.856277,0.055655,0.404536,0.299911
13000,0.042174,0.046943,0.843024,0.065653,0.421034,0.305720
14000,0.042899,0.046953,0.802077,0.092149,0.452869,0.309527
15000,0.041283,0.046839,0.791037,0.097115,0.445669,0.296064
16000,0.040909,0.046826,0.817450,0.085589,0.443774,0.310026
17000,0.041914,0.047207,0.808771,0.086650,0.438805,0.305825
18000,0.041941,0.046432,0.803338,0.096619,0.447157,0.309049
19000,0.040818,0.046107,0.820961,0.091388,0.445238,0.311431
20000,0.039561,0.045996,0.795830,0.101270,0.457708,0.310389
21000,0.040692,0.046935,0.788091,0.108487,0.462905,0.315370
22000,0.040667,0.045832,0.802391,0.094937,0.442769,0.307123
23000,0.041442,0.046576,0.783489,0.109579,0.464211,0.310552
24000,0.041901,0.047241,0.781120,0.122456,0.481323,0.323138
25000,0.040133,0.046849,0.779495,0.146040,0.488103,0.315837
26000,0.038180,0.046164,0.768947,0.139880,0.485624,0.312694
27000,0.039396,0.046036,0.760300,0.150276,0.494035,0.317078
28000,0.037513,0.045977,0.741122,0.180441,0.516768,0.315622
29000,0.038145,0.046121,0.753153,0.154007,0.500319,0.323775
30000,0.035898,0.046220,0.740085,0.185908,0.526239,0.325005
31000,0.036285,0.045406,0.736148,0.166357,0.513531,0.320976
32000,0.037820,0.045463,0.750058,0.150998,0.505741,0.327778
33000,0.038576,0.045241,0.727514,0.184309,0.532697,0.328018
34000,0.036260,0.046296,0.730481,0.179151,0.518427,0.322026
35000,0.034998,0.045368,0.733109,0.178610,0.531100,0.335973
36000,0.034533,0.045872,0.727102,0.178016,0.530754,0.330079
37000,0.038703,0.045889,0.710200,0.212100,0.543553,0.324028
38000,0.036318,0.045588,0.697606,0.194462,0.532658,0.313608
39000,0.035954,0.045675,0.706250,0.198350,0.545121,0.329647
40000,0.034378,0.045969,0.714114,0.180372,0.535349,0.329938
41000,0.036878,0.044823,0.714143,0.194584,0.545286,0.330908
42000,0.033038,0.045039,0.715774,0.203091,0.561392,0.344116
43000,0.032187,0.044925,0.707755,0.213758,0.543357,0.325274
44000,0.033519,0.045444,0.716576,0.203996,0.541422,0.324985
45000,0.031620,0.045338,0.726496,0.181924,0.536535,0.333109
46000,0.033982,0.045932,0.701300,0.210850,0.551386,0.327155
47000,0.035771,0.045349,0.706718,0.209943,0.551268,0.324205
48000,0.033981,0.045593,0.723540,0.191575,0.556635,0.339100
49000,0.034441,0.045558,0.707113,0.223485,0.558995,0.325694
50000,0.033735,0.045584,0.708823,0.226388,0.582887,0.342673
0.7119717001914978
