step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.051877,0.051352,-0.444595,0.081524,0.183500,0.151463
1000,0.047853,0.047853,0.999986,0.000002,0.224491,0.224409
2000,0.047853,0.047853,0.999989,0.000001,0.224524,0.224476
3000,0.047852,0.047853,0.999899,0.000010,0.224836,0.224441
4000,0.045920,0.047167,0.963161,0.007895,0.300056,0.270819
5000,0.045321,0.047016,0.961056,0.009212,0.312591,0.283946
6000,0.044562,0.047146,0.871358,0.034531,0.346883,0.276518
7000,0.042924,0.046255,0.878791,0.042123,0.389099,0.298405
8000,0.043595,0.047009,0.868056,0.045235,0.389431,0.293379
9000,0.042755,0.046590,0.876464,0.044054,0.397149,0.303514
10000,0.042103,0.046206,0.880403,0.043529,0.400261,0.306790
11000,0.042877,0.047310,0.890370,0.043714,0.407195,0.314400
12000,0.042660,0.046378,0.880135,0.042387,0.394070,0.308377
13000,0.043282,0.046553,0.892779,0.037631,0.390135,0.306851
14000,0.042275,0.046291,0.890269,0.041639,0.401175,0.316022
15000,0.043116,0.046270,0.852003,0.058640,0.418780,0.309896
16000,0.041981,0.045698,0.837919,0.072392,0.427738,0.303071
17000,0.042191,0.046804,0.822004,0.076035,0.436687,0.307990
18000,0.041493,0.046031,0.838422,0.070422,0.431646,0.316985
19000,0.040829,0.047303,0.842628,0.066319,0.429619,0.310024
20000,0.041518,0.046382,0.808650,0.092969,0.458430,0.312656
21000,0.041698,0.045921,0.817448,0.087286,0.459455,0.324236
22000,0.041403,0.046333,0.821205,0.093129,0.458078,0.317042
23000,0.040868,0.046055,0.807175,0.092372,0.455636,0.319231
24000,0.040288,0.046638,0.809541,0.097277,0.457527,0.317730
25000,0.038721,0.045864,0.807405,0.102861,0.458920,0.314981
26000,0.039671,0.046425,0.783605,0.115494,0.472622,0.318941
27000,0.039543,0.045524,0.759751,0.133350,0.494408,0.319781
28000,0.039123,0.045562,0.759554,0.145348,0.507056,0.328387
29000,0.038623,0.045596,0.764579,0.151719,0.517400,0.337199
30000,0.038399,0.046749,0.743232,0.165915,0.526518,0.330394
31000,0.038604,0.045393,0.751601,0.153826,0.521055,0.332269
32000,0.038397,0.046067,0.749468,0.182506,0.537797,0.332907
33000,0.034354,0.045619,0.749650,0.173044,0.525541,0.327389
34000,0.034942,0.045271,0.734840,0.193152,0.539700,0.325263
35000,0.034540,0.045251,0.720600,0.211585,0.561099,0.334932
36000,0.035409,0.045691,0.746189,0.187607,0.551091,0.337776
37000,0.032681,0.045244,0.710522,0.216427,0.565024,0.329285
38000,0.034593,0.046212,0.700827,0.217507,0.563272,0.318772
39000,0.032384,0.045485,0.683803,0.249078,0.589450,0.327855
40000,0.032757,0.045375,0.689876,0.250205,0.596271,0.334406
41000,0.034555,0.045176,0.697133,0.241010,0.585410,0.328770
42000,0.032905,0.045280,0.702798,0.226770,0.573771,0.326678
43000,0.029824,0.045508,0.711869,0.241423,0.583037,0.332434
44000,0.033004,0.045713,0.698769,0.256751,0.597931,0.333832
45000,0.033014,0.046139,0.702458,0.239875,0.588122,0.333555
46000,0.036164,0.045097,0.690001,0.298337,0.635536,0.340632
47000,0.035346,0.044750,0.705306,0.278031,0.620245,0.350093
48000,0.031255,0.044844,0.704549,0.241172,0.586570,0.326340
49000,0.030655,0.045226,0.704603,0.264938,0.611446,0.343865
50000,0.035160,0.045491,0.711079,0.248546,0.601905,0.338846
0.708171546459198
