step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.052266,0.052889,-0.374735,0.085361,0.172897,0.179302
1000,0.047853,0.047853,0.999983,0.000002,0.224893,0.224137
2000,0.047853,0.047853,0.999974,0.000003,0.224794,0.224232
3000,0.046104,0.047322,0.972166,0.007007,0.294666,0.260784
4000,0.045704,0.046875,0.987392,0.002572,0.298242,0.283083
5000,0.043696,0.046896,0.951218,0.019653,0.366530,0.299050
6000,0.043047,0.046374,0.895795,0.033132,0.382663,0.305625
7000,0.042730,0.046275,0.897756,0.035394,0.401782,0.315386
8000,0.042748,0.046202,0.895313,0.035902,0.393270,0.310299
9000,0.043000,0.046193,0.911537,0.031457,0.395606,0.315797
10000,0.043272,0.046098,0.908317,0.031672,0.390297,0.308131
11000,0.042371,0.046196,0.899424,0.040369,0.408733,0.312053
12000,0.042178,0.045917,0.864464,0.052149,0.427054,0.317572
13000,0.041474,0.046240,0.850921,0.066103,0.440951,0.317509
14000,0.041370,0.045647,0.863882,0.061190,0.436062,0.316977
15000,0.041178,0.046324,0.860574,0.064831,0.444112,0.322888
16000,0.041946,0.046344,0.851641,0.070621,0.456304,0.321694
17000,0.041503,0.046626,0.869298,0.058874,0.438891,0.321413
18000,0.042037,0.046098,0.862560,0.069589,0.457182,0.331004
19000,0.042137,0.045715,0.857731,0.070361,0.444539,0.318380
20000,0.040726,0.045980,0.841680,0.083243,0.465967,0.327723
21000,0.041706,0.046770,0.851319,0.077747,0.464893,0.331127
22000,0.041491,0.046560,0.854238,0.077362,0.463597,0.332842
23000,0.039912,0.045731,0.836235,0.089240,0.471333,0.324793
24000,0.041520,0.046268,0.848695,0.084401,0.473441,0.330415
25000,0.039545,0.045028,0.845892,0.092138,0.485103,0.342401
26000,0.038944,0.044990,0.827630,0.106684,0.503478,0.339530
27000,0.038933,0.045301,0.841688,0.095394,0.482750,0.330991
28000,0.037436,0.045442,0.843767,0.106768,0.499912,0.340714
29000,0.037483,0.044924,0.835365,0.116442,0.505566,0.339328
30000,0.037189,0.045274,0.847615,0.110174,0.504406,0.349082
31000,0.037339,0.045374,0.816842,0.122815,0.507906,0.337980
32000,0.035782,0.045370,0.817600,0.140211,0.537678,0.348640
33000,0.037982,0.045212,0.830240,0.140910,0.525665,0.349895
34000,0.040916,0.045787,0.796437,0.173214,0.564695,0.352237
35000,0.036997,0.044592,0.824518,0.145246,0.535250,0.347817
36000,0.032906,0.045586,0.810303,0.162092,0.551969,0.352386
37000,0.035319,0.045491,0.814280,0.164507,0.550221,0.349840
38000,0.034715,0.044648,0.810165,0.166619,0.560120,0.359107
39000,0.035074,0.046635,0.814476,0.162927,0.548792,0.355990
40000,0.033686,0.044467,0.807454,0.161530,0.543982,0.344929
41000,0.032172,0.044808,0.825866,0.170954,0.557778,0.361269
42000,0.036531,0.046479,0.811422,0.155709,0.557273,0.355935
43000,0.036911,0.045152,0.818084,0.142868,0.538310,0.352592
44000,0.033584,0.045692,0.830725,0.142928,0.541770,0.354775
45000,0.034274,0.044660,0.797674,0.175170,0.571177,0.358376
46000,0.032501,0.044524,0.835197,0.150745,0.555937,0.370054
47000,0.038978,0.045774,0.816753,0.175128,0.552301,0.348219
48000,0.031955,0.045345,0.815336,0.166188,0.571807,0.365125
49000,0.034132,0.044681,0.833944,0.157710,0.554841,0.364953
50000,0.032554,0.045648,0.824666,0.156153,0.557591,0.362568
0.8483034372329712
