step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.245090,0.243938,-0.131613,0.103367,0.221602,0.205569
1000,0.209468,0.239074,0.791836,0.109270,0.416901,0.253077
2000,0.228772,0.238918,0.743163,0.191320,0.466985,0.244128
3000,0.207245,0.238620,0.763201,0.163350,0.444861,0.253138
4000,0.205640,0.238289,0.782971,0.103941,0.397693,0.243054
5000,0.208547,0.239213,0.762143,0.137876,0.428434,0.247340
6000,0.211281,0.238331,0.761879,0.152632,0.437815,0.248178
7000,0.211789,0.240673,0.747881,0.174153,0.461617,0.254414
8000,0.208162,0.238607,0.764437,0.131641,0.425906,0.249291
9000,0.213318,0.239134,0.778101,0.172248,0.439929,0.250611
10000,0.211756,0.238677,0.773094,0.153627,0.428378,0.249156
11000,0.210462,0.239676,0.773184,0.157285,0.449189,0.254018
12000,0.198304,0.238061,0.767781,0.153153,0.434793,0.252360
13000,0.222206,0.239306,0.762450,0.175462,0.454878,0.249846
14000,0.217504,0.240206,0.768686,0.158975,0.442495,0.252770
15000,0.215353,0.239335,0.763387,0.176724,0.446529,0.253566
16000,0.189476,0.237255,0.765020,0.146886,0.438601,0.255284
17000,0.193385,0.237144,0.769917,0.157307,0.436471,0.253189
18000,0.206484,0.239141,0.760890,0.174451,0.453925,0.250913
19000,0.198521,0.238785,0.754954,0.208272,0.457115,0.250001
20000,0.213026,0.238670,0.743639,0.184478,0.460789,0.250233
21000,0.194527,0.238749,0.749613,0.178024,0.456555,0.253580
22000,0.203448,0.240717,0.733672,0.252395,0.500172,0.258148
23000,0.185314,0.239173,0.753348,0.207340,0.462338,0.256571
24000,0.176962,0.239118,0.751141,0.228680,0.468386,0.252499
25000,0.189362,0.239419,0.762974,0.173566,0.447655,0.254489
26000,0.196892,0.237878,0.754582,0.187157,0.452788,0.248733
27000,0.194070,0.239279,0.747261,0.255657,0.491936,0.258571
28000,0.200324,0.239364,0.765721,0.165565,0.443743,0.256223
29000,0.184295,0.238215,0.757846,0.258615,0.479526,0.255686
30000,0.210179,0.239316,0.734860,0.242946,0.490798,0.255290
31000,0.187977,0.238721,0.766329,0.250719,0.465500,0.252967
32000,0.185466,0.238274,0.763495,0.221691,0.463637,0.256721
33000,0.190832,0.239211,0.744599,0.283331,0.495017,0.255351
34000,0.203481,0.239491,0.748871,0.224310,0.483962,0.259184
35000,0.165375,0.238747,0.750967,0.268169,0.474651,0.254325
36000,0.184485,0.239046,0.750532,0.205496,0.468859,0.253951
37000,0.202502,0.238674,0.751749,0.275318,0.483626,0.255642
38000,0.203631,0.239423,0.766063,0.220458,0.457112,0.253982
39000,0.176184,0.240206,0.741943,0.270186,0.489825,0.254825
40000,0.212245,0.238678,0.757068,0.267098,0.478614,0.252091
41000,0.208035,0.238015,0.754679,0.277944,0.481746,0.255055
42000,0.175965,0.238307,0.743973,0.246556,0.497992,0.262559
43000,0.193467,0.238612,0.759978,0.192888,0.458114,0.256381
44000,0.186544,0.238188,0.758893,0.195751,0.444038,0.252906
45000,0.178302,0.237333,0.757533,0.233688,0.464263,0.261350
46000,0.196824,0.238783,0.766899,0.175254,0.434843,0.252099
47000,0.201295,0.240046,0.753645,0.244013,0.481981,0.261592
48000,0.062409,0.236777,0.768825,0.167841,0.430061,0.254520
49000,0.127586,0.238183,0.748886,0.216423,0.475455,0.257429
50000,0.161384,0.240373,0.754966,0.271019,0.486241,0.257756
0.7585534453392029
