step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.051067,0.053739,0.057803,0.052413,0.160545,0.172317
1000,0.047853,0.047853,0.999978,0.000002,0.224698,0.224506
2000,0.047852,0.047853,0.999533,0.000053,0.225798,0.224202
3000,0.046381,0.048090,0.971369,0.005984,0.295911,0.273783
4000,0.044234,0.046980,0.895963,0.028847,0.342262,0.281499
5000,0.044080,0.046984,0.965433,0.013731,0.358778,0.301911
6000,0.043786,0.047570,0.915103,0.031045,0.384845,0.307447
7000,0.042637,0.046718,0.936657,0.023855,0.377328,0.304188
8000,0.043465,0.047067,0.937929,0.024579,0.382159,0.304014
9000,0.042498,0.046571,0.947239,0.025146,0.396149,0.315362
10000,0.042817,0.046464,0.921226,0.031160,0.398062,0.311403
11000,0.041948,0.046681,0.908611,0.039415,0.420122,0.314984
12000,0.041168,0.046501,0.914206,0.038116,0.411391,0.310878
13000,0.041737,0.045477,0.909471,0.042053,0.414659,0.307683
14000,0.041885,0.046444,0.921767,0.034016,0.413793,0.320561
15000,0.041664,0.045948,0.916597,0.035934,0.409739,0.310129
16000,0.041659,0.046751,0.921280,0.037334,0.416979,0.319890
17000,0.042606,0.046680,0.907133,0.046019,0.432162,0.317517
18000,0.042457,0.047132,0.911308,0.040589,0.418387,0.316615
19000,0.041472,0.046952,0.905307,0.042616,0.420427,0.317140
20000,0.041470,0.046681,0.911785,0.045536,0.432438,0.324040
21000,0.040320,0.046583,0.910851,0.048516,0.443776,0.331559
22000,0.040687,0.046897,0.909965,0.050609,0.441250,0.325471
23000,0.041139,0.046679,0.918313,0.047510,0.449864,0.342093
24000,0.039722,0.047035,0.914825,0.047318,0.429745,0.321812
25000,0.040251,0.045711,0.918259,0.054421,0.459851,0.344287
26000,0.039772,0.045686,0.908207,0.061013,0.460795,0.334507
27000,0.038874,0.046274,0.907820,0.067151,0.474583,0.344186
28000,0.039647,0.046405,0.913891,0.065491,0.473568,0.356804
29000,0.038264,0.045671,0.912691,0.062875,0.471584,0.347940
30000,0.040099,0.045272,0.920341,0.063677,0.473663,0.345891
31000,0.037299,0.045722,0.913853,0.063215,0.474371,0.348975
32000,0.037723,0.045933,0.916321,0.067796,0.476259,0.352131
33000,0.037080,0.044673,0.920966,0.060343,0.470261,0.346285
34000,0.038605,0.045350,0.924135,0.063607,0.480207,0.358013
35000,0.037535,0.045937,0.905983,0.074447,0.496588,0.358443
36000,0.035497,0.046362,0.913435,0.067589,0.470229,0.351320
37000,0.036564,0.047454,0.897170,0.089062,0.510707,0.361226
38000,0.037904,0.045442,0.902706,0.081112,0.493889,0.353814
39000,0.036531,0.046745,0.904204,0.080462,0.500863,0.364197
40000,0.035063,0.045257,0.908954,0.077749,0.490894,0.354538
41000,0.035009,0.044921,0.911042,0.077250,0.493208,0.359394
42000,0.037015,0.046252,0.891453,0.092046,0.518962,0.368117
43000,0.035694,0.045329,0.907779,0.080158,0.499446,0.361401
44000,0.036508,0.046386,0.903886,0.085173,0.505742,0.365170
45000,0.037503,0.046429,0.892753,0.094692,0.511800,0.357898
46000,0.036152,0.045079,0.895019,0.093398,0.509334,0.351962
47000,0.035360,0.046310,0.893660,0.096997,0.526587,0.376114
48000,0.036327,0.045075,0.915430,0.073350,0.499211,0.363756
49000,0.035706,0.044983,0.914581,0.082138,0.507990,0.366536
50000,0.033630,0.045731,0.909754,0.079740,0.490867,0.352587
0.8944070339202881
