step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.247444,0.245964,-0.004420,0.077437,0.169869,0.219254
1000,0.217036,0.238984,0.846200,0.080299,0.412401,0.254813
2000,0.214853,0.238529,0.870556,0.085716,0.414682,0.259249
3000,0.207659,0.237701,0.884805,0.073183,0.414068,0.274298
4000,0.229878,0.241430,0.871738,0.104955,0.435125,0.267697
5000,0.197363,0.235812,0.872881,0.095052,0.427313,0.269871
6000,0.214515,0.238761,0.874768,0.105507,0.435003,0.272166
7000,0.216316,0.240116,0.866120,0.070840,0.395122,0.258831
8000,0.201945,0.238979,0.864432,0.099905,0.426566,0.261759
9000,0.206305,0.237905,0.864148,0.096786,0.425993,0.264001
10000,0.209347,0.239649,0.872423,0.088875,0.419345,0.267860
11000,0.222213,0.238789,0.859193,0.117058,0.445108,0.267198
12000,0.218223,0.241608,0.873061,0.130924,0.460576,0.272964
13000,0.212127,0.239525,0.861619,0.103869,0.428989,0.261481
14000,0.218458,0.238820,0.863385,0.127794,0.447908,0.269726
15000,0.199999,0.238488,0.864398,0.111276,0.435277,0.261876
16000,0.202277,0.236876,0.875860,0.093752,0.417811,0.267562
17000,0.186184,0.238284,0.873394,0.104581,0.421111,0.265711
18000,0.202563,0.240978,0.862726,0.150383,0.462953,0.270252
19000,0.223024,0.239128,0.873188,0.136147,0.435129,0.264280
20000,0.186387,0.236461,0.863650,0.149335,0.443393,0.265666
21000,0.210898,0.239148,0.856968,0.115549,0.430005,0.261778
22000,0.197168,0.238928,0.867932,0.130472,0.429109,0.264547
23000,0.194054,0.240334,0.847608,0.180120,0.481880,0.270821
24000,0.194454,0.237805,0.854029,0.145644,0.454468,0.267178
25000,0.182653,0.238165,0.860126,0.123553,0.439458,0.265055
26000,0.188882,0.238522,0.864705,0.152852,0.444774,0.265698
27000,0.183380,0.238582,0.855736,0.170432,0.460150,0.266077
28000,0.183763,0.240366,0.856549,0.160055,0.465178,0.273678
29000,0.189874,0.238340,0.850925,0.151680,0.448657,0.263667
30000,0.180139,0.236919,0.864360,0.118489,0.424226,0.266219
31000,0.183445,0.236794,0.875286,0.125113,0.430626,0.269405
32000,0.200350,0.240541,0.847672,0.163232,0.476542,0.272914
33000,0.170713,0.239895,0.847001,0.232938,0.512897,0.277109
34000,0.186410,0.236934,0.860803,0.180257,0.457971,0.269429
35000,0.183417,0.239920,0.864787,0.212048,0.474528,0.273490
36000,0.055841,0.237031,0.854520,0.118032,0.452406,0.274488
37000,0.182943,0.241271,0.856951,0.155173,0.453139,0.267773
38000,0.209513,0.242406,0.872398,0.156828,0.450999,0.271551
39000,0.185435,0.237757,0.866524,0.105979,0.434497,0.270463
40000,0.171863,0.239136,0.856640,0.156466,0.457746,0.269109
41000,0.171938,0.239933,0.854768,0.176810,0.472818,0.275512
42000,0.181246,0.239719,0.835193,0.221790,0.502782,0.277225
43000,0.175081,0.239593,0.862449,0.150744,0.454795,0.273123
44000,0.191109,0.239945,0.844265,0.156762,0.465063,0.269074
45000,0.153492,0.236864,0.866557,0.198370,0.449669,0.265738
46000,0.190612,0.241662,0.862092,0.167449,0.467826,0.273612
47000,0.201175,0.236484,0.858533,0.127512,0.450732,0.271886
48000,0.194858,0.238382,0.867618,0.194179,0.450548,0.266143
49000,0.172547,0.233591,0.861735,0.173462,0.460869,0.271620
50000,0.185895,0.238369,0.855650,0.178426,0.461234,0.271798
51000,0.186999,0.238012,0.861529,0.172504,0.478494,0.277085
52000,0.232350,0.238161,0.856438,0.109640,0.432654,0.268001
53000,0.204430,0.240319,0.851070,0.183630,0.483637,0.272060
54000,0.190689,0.235149,0.859725,0.138431,0.453401,0.271043
55000,0.181082,0.236191,0.862687,0.139039,0.443969,0.271389
56000,0.189637,0.234473,0.862153,0.151468,0.468833,0.274289
57000,0.181411,0.238661,0.848133,0.131755,0.451238,0.272744
58000,0.189159,0.236838,0.850706,0.126997,0.450136,0.275217
59000,0.199040,0.237940,0.847875,0.227192,0.498727,0.279553
60000,0.195724,0.239044,0.862436,0.213271,0.501508,0.289370
61000,0.076609,0.240880,0.853848,0.160154,0.457325,0.271545
62000,0.190242,0.240894,0.848268,0.188385,0.488079,0.278073
63000,0.158599,0.239180,0.851704,0.124248,0.451311,0.275547
64000,0.182483,0.239852,0.860390,0.225200,0.489187,0.275624
65000,0.189120,0.242035,0.854627,0.162692,0.464766,0.278178
66000,0.182845,0.239112,0.848212,0.182221,0.474591,0.272343
67000,0.174674,0.236752,0.860980,0.173123,0.474766,0.279686
68000,0.209157,0.242189,0.852064,0.227826,0.501995,0.279929
69000,0.167620,0.238242,0.867118,0.201025,0.478765,0.275207
70000,0.195239,0.239186,0.861813,0.155441,0.461733,0.271584
71000,0.185824,0.238835,0.852103,0.173429,0.478817,0.278118
72000,0.192198,0.237843,0.858624,0.158921,0.461453,0.276107
73000,0.197904,0.238948,0.842914,0.209630,0.488612,0.276857
74000,0.186421,0.238037,0.856320,0.134912,0.441332,0.268286
75000,0.193537,0.237921,0.841858,0.223728,0.503649,0.275532
76000,0.203221,0.240782,0.844221,0.212115,0.495572,0.276323
77000,0.171515,0.241545,0.850032,0.182717,0.474747,0.276144
78000,0.089808,0.238400,0.853110,0.181811,0.469565,0.275550
79000,0.181164,0.238451,0.844075,0.186131,0.476040,0.275272
80000,0.193139,0.238959,0.835604,0.125238,0.432098,0.263558
81000,0.077544,0.241235,0.834504,0.172991,0.472371,0.273440
82000,0.127115,0.238125,0.841207,0.218032,0.480436,0.268626
83000,0.046491,0.236834,0.835317,0.145018,0.450945,0.268585
84000,0.182727,0.238432,0.820825,0.196688,0.479724,0.272392
85000,0.016812,0.113655,0.829825,0.256277,0.507625,0.275304
86000,0.077219,0.237808,0.832823,0.205761,0.473524,0.268621
87000,0.168868,0.237355,0.837647,0.163301,0.457019,0.267486
88000,0.112425,0.114037,0.832324,0.290167,0.528018,0.282275
89000,0.153788,0.237613,0.856177,0.209230,0.467232,0.272379
90000,-0.039713,0.237547,0.842373,0.212036,0.494422,0.277469
91000,0.173406,0.238348,0.846137,0.273479,0.495970,0.273927
92000,0.186691,0.238062,0.861288,0.116404,0.426775,0.264921
93000,0.164548,0.237797,0.823446,0.236075,0.500877,0.273178
94000,0.197136,0.237905,0.829598,0.217355,0.488270,0.268574
95000,0.160660,0.238346,0.831404,0.215722,0.487702,0.274007
96000,0.185309,0.240881,0.817871,0.259293,0.517228,0.277541
97000,0.090795,0.112745,0.828259,0.191300,0.472115,0.272732
98000,0.174622,0.234600,0.835546,0.190254,0.465131,0.272963
99000,0.042838,0.160485,0.844411,0.205042,0.486454,0.279192
100000,0.095269,0.242021,0.822382,0.214523,0.494944,0.272345
101000,0.177702,0.237346,0.834703,0.296243,0.511362,0.277390
102000,0.183183,0.237854,0.833010,0.196055,0.469518,0.269380
103000,0.193895,0.237653,0.827439,0.310211,0.503196,0.272026
104000,0.051105,0.239189,0.835280,0.224294,0.476036,0.274372
105000,0.074993,0.122059,0.829948,0.205671,0.466769,0.268231
106000,0.171053,0.239438,0.827403,0.249048,0.497270,0.278316
107000,0.200507,0.238965,0.821383,0.230215,0.500052,0.280608
108000,0.211721,0.242322,0.836971,0.188357,0.465259,0.273001
109000,0.051865,0.241029,0.835310,0.307117,0.521438,0.284097
110000,0.169537,0.238984,0.816036,0.262843,0.509596,0.277658
111000,0.144659,0.238628,0.821843,0.277168,0.501493,0.274920
112000,0.152595,0.236554,0.839228,0.189869,0.468825,0.270279
113000,0.202390,0.240585,0.826381,0.246772,0.500765,0.277419
114000,0.197518,0.242246,0.830895,0.251595,0.506419,0.284002
115000,0.244482,0.239226,0.815693,0.261858,0.498985,0.272039
116000,0.178059,0.241063,0.837642,0.187172,0.477156,0.276922
117000,0.178047,0.238110,0.825232,0.280591,0.495138,0.267216
118000,0.161425,0.242335,0.841352,0.172539,0.463401,0.273416
119000,0.171094,0.238337,0.835218,0.206862,0.475728,0.274789
120000,0.187353,0.239755,0.825563,0.373567,0.546932,0.282807
121000,0.121766,0.238925,0.829856,0.229663,0.507134,0.280590
122000,0.182379,0.238043,0.835505,0.164969,0.444703,0.271314
123000,0.003570,0.227121,0.830236,0.204594,0.489144,0.272948
124000,0.079169,0.128405,0.817630,0.216088,0.492768,0.274192
125000,0.132348,0.241943,0.819949,0.158716,0.467077,0.269696
126000,0.115801,0.138546,0.830957,0.146873,0.454674,0.271721
127000,0.201996,0.238871,0.827238,0.288716,0.510863,0.277138
128000,0.182960,0.236253,0.828182,0.248474,0.483394,0.273926
129000,0.185652,0.240336,0.816045,0.270129,0.513492,0.275222
130000,0.173546,0.239896,0.822226,0.284359,0.518829,0.276720
131000,0.217081,0.240801,0.824230,0.212929,0.480384,0.272889
132000,0.091775,0.141080,0.816355,0.357126,0.508977,0.267933
133000,0.073452,0.125933,0.819005,0.302576,0.522288,0.279363
134000,0.150101,0.236394,0.823970,0.181801,0.462202,0.271212
135000,0.158916,0.236063,0.832798,0.140118,0.443467,0.266667
136000,0.194781,0.239742,0.820824,0.212060,0.487027,0.274067
137000,0.048588,0.235612,0.834172,0.122132,0.417842,0.256941
138000,0.177603,0.239468,0.821279,0.239418,0.491647,0.272342
139000,0.187086,0.238999,0.821745,0.189531,0.473339,0.269627
140000,0.141726,0.240360,0.827269,0.219127,0.477760,0.272111
141000,0.171628,0.238029,0.818557,0.199818,0.473052,0.269502
142000,0.658596,0.955436,0.819625,0.251162,0.487034,0.269153
143000,0.176216,0.234503,0.813095,0.163804,0.452226,0.262015
144000,0.171428,0.235024,0.810992,0.290656,0.501897,0.268690
145000,0.176977,0.235395,0.836564,0.213643,0.456694,0.266375
146000,0.166520,0.240486,0.815130,0.256793,0.500340,0.272894
147000,0.093885,0.131473,0.809663,0.281925,0.499911,0.268674
148000,0.197119,0.238391,0.807013,0.278494,0.522793,0.275543
149000,-0.036602,0.235629,0.821402,0.210297,0.471268,0.262797
150000,0.159001,0.227595,0.815207,0.190677,0.453454,0.259920
151000,0.191804,0.239242,0.805741,0.280376,0.497963,0.263954
152000,0.060539,0.149374,0.806491,0.267767,0.502951,0.274971
153000,0.164893,0.240031,0.822799,0.189843,0.458118,0.268886
154000,0.063928,0.237174,0.819146,0.257341,0.475083,0.263844
155000,0.142087,0.237549,0.798007,0.322594,0.532093,0.276070
156000,0.060566,0.114672,0.827367,0.184075,0.460156,0.271919
157000,0.170128,0.238298,0.800842,0.361594,0.533710,0.274637
158000,0.194711,0.240363,0.817963,0.230367,0.486583,0.272547
159000,0.212831,0.239927,0.806930,0.294249,0.528288,0.281315
160000,0.203130,0.237191,0.814153,0.271316,0.494594,0.271700
161000,0.155427,0.236131,0.814052,0.347509,0.533808,0.280268
162000,0.157685,0.238917,0.808503,0.291306,0.524970,0.279053
163000,0.090334,0.122974,0.821858,0.187724,0.465569,0.272491
164000,0.180550,0.239930,0.813076,0.274801,0.529142,0.279596
165000,0.076435,0.116413,0.817105,0.257074,0.483854,0.266466
166000,0.166940,0.236061,0.821384,0.256173,0.490442,0.273981
167000,1.161429,1.600303,0.817834,0.265559,0.497687,0.273864
168000,0.114122,0.239837,0.824570,0.241056,0.499031,0.277380
169000,0.070220,0.129725,0.830764,0.199023,0.468814,0.272397
170000,0.163540,0.237030,0.825175,0.188651,0.462480,0.266043
171000,0.062486,0.109775,0.828802,0.199925,0.451844,0.268445
172000,0.226981,0.114004,0.822679,0.335255,0.530469,0.275802
173000,0.139094,0.238118,0.832031,0.270638,0.490674,0.274459
174000,0.168009,0.237669,0.820388,0.245804,0.491422,0.270318
175000,0.171444,0.238272,0.822223,0.247278,0.493266,0.271038
176000,0.163653,0.238669,0.839364,0.158907,0.455832,0.273718
177000,0.188015,0.237223,0.827747,0.224528,0.491557,0.274445
178000,0.110941,0.113907,0.819119,0.278761,0.508703,0.277706
179000,0.112607,0.237606,0.821249,0.306065,0.532105,0.286196
180000,0.089904,0.112680,0.825363,0.271092,0.497997,0.275261
181000,0.198033,0.237673,0.823433,0.287653,0.512386,0.283929
182000,0.131210,0.235271,0.828251,0.236943,0.475918,0.273654
183000,0.174083,0.239283,0.837178,0.163932,0.462142,0.272117
184000,0.078443,0.239773,0.813191,0.270135,0.534167,0.284337
185000,0.127620,0.234513,0.842379,0.169129,0.448412,0.269792
186000,0.134855,0.239146,0.829259,0.234229,0.483134,0.278940
187000,0.035640,0.115697,0.839267,0.194245,0.466407,0.272163
188000,0.053653,0.238761,0.835789,0.195900,0.479746,0.277755
189000,0.042921,0.114655,0.833291,0.205672,0.482572,0.282178
190000,0.033633,0.122903,0.839909,0.201196,0.465793,0.272519
191000,0.144094,0.236041,0.839755,0.224021,0.471487,0.274566
192000,-0.013222,0.114207,0.827020,0.310713,0.529231,0.287559
193000,0.153863,0.238635,0.827645,0.189071,0.489087,0.279199
194000,0.169976,0.237266,0.829072,0.262454,0.504512,0.277614
195000,0.069179,0.237362,0.829297,0.285849,0.517461,0.281129
196000,0.044736,0.240017,0.825383,0.221985,0.501726,0.280080
197000,0.131663,-0.011169,0.832201,0.198755,0.486393,0.278147
198000,0.187924,0.238641,0.831363,0.318969,0.501667,0.272065
199000,0.181110,0.235559,0.832768,0.267374,0.496332,0.281700
200000,0.078719,0.132090,0.829699,0.237328,0.504463,0.284188
201000,0.037901,0.113848,0.824715,0.275870,0.531629,0.285175
202000,0.193497,0.233423,0.844702,0.224029,0.476864,0.274332
203000,0.157866,0.237839,0.838698,0.216535,0.495240,0.281428
204000,0.060390,0.234390,0.837291,0.243222,0.486073,0.274958
205000,0.168648,0.236632,0.834589,0.238711,0.485533,0.276156
206000,0.171883,0.235989,0.830594,0.220085,0.481214,0.275736
207000,0.147177,0.236208,0.835612,0.211987,0.472572,0.280318
208000,0.158486,0.238222,0.831731,0.169915,0.464627,0.277026
209000,0.040851,0.144320,0.837712,0.206813,0.486825,0.275703
210000,0.084360,0.136613,0.833710,0.247914,0.508242,0.280737
211000,0.148184,0.233662,0.831606,0.174266,0.459949,0.275673
212000,0.124602,0.238161,0.833007,0.243124,0.484742,0.271251
213000,0.161225,0.239517,0.837049,0.179815,0.477057,0.278674
214000,0.099903,0.145404,0.827458,0.318185,0.525223,0.282816
215000,0.142651,0.237085,0.827618,0.201424,0.477628,0.275113
216000,0.131715,0.236346,0.834053,0.167908,0.451447,0.274114
217000,0.090339,0.121526,0.824203,0.249126,0.493275,0.277471
218000,0.190327,0.234792,0.833425,0.237696,0.495789,0.277739
219000,0.182944,0.237006,0.828307,0.204561,0.479520,0.278597
220000,0.296950,0.157851,0.833897,0.227474,0.484234,0.274471
221000,0.175258,0.237245,0.844501,0.156133,0.463746,0.279231
