step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.246470,0.246339,0.382377,0.060255,0.206033,0.232496
1000,0.212986,0.239047,0.884973,0.058418,0.388822,0.260426
2000,0.226880,0.237634,0.867913,0.091422,0.402871,0.254359
3000,0.215571,0.239678,0.881022,0.082753,0.413629,0.264796
4000,0.206877,0.239082,0.866670,0.086932,0.417391,0.260135
5000,0.220181,0.239865,0.886911,0.091504,0.419845,0.272210
6000,0.211773,0.239998,0.858193,0.106087,0.426541,0.256922
7000,0.206347,0.238138,0.864314,0.089915,0.409096,0.255896
8000,0.226101,0.239287,0.872297,0.098969,0.433252,0.268022
9000,0.219135,0.239544,0.868724,0.096011,0.421056,0.260712
10000,0.233643,0.238816,0.862342,0.100243,0.430443,0.261301
11000,0.205804,0.239330,0.860111,0.119666,0.440764,0.262902
12000,0.219371,0.239269,0.864878,0.096933,0.415920,0.256210
13000,0.216626,0.239896,0.866207,0.121539,0.428836,0.260926
14000,0.206566,0.237085,0.858105,0.127196,0.443948,0.260921
15000,0.208638,0.237795,0.872110,0.097824,0.433278,0.266917
16000,0.212775,0.240711,0.867673,0.097568,0.422657,0.262308
17000,0.188123,0.240457,0.861216,0.114213,0.430776,0.260633
18000,0.221862,0.242334,0.855068,0.144070,0.450680,0.264571
19000,0.202971,0.242452,0.858921,0.180181,0.484546,0.276266
20000,0.191787,0.240286,0.868135,0.140986,0.441950,0.265343
21000,0.203314,0.239513,0.857466,0.145115,0.441234,0.262612
22000,0.194793,0.241504,0.856206,0.183748,0.460445,0.266120
23000,0.192567,0.238856,0.862157,0.168378,0.442671,0.260506
24000,0.195135,0.239520,0.862323,0.130343,0.439966,0.264223
25000,0.196437,0.236766,0.860341,0.109992,0.410564,0.257285
26000,0.182112,0.238713,0.869233,0.150619,0.452055,0.269593
27000,0.206581,0.240140,0.857537,0.220840,0.490915,0.272500
28000,0.190759,0.239659,0.867812,0.125035,0.444393,0.268725
29000,0.171063,0.238826,0.869363,0.110224,0.427459,0.263839
30000,0.190223,0.240266,0.867261,0.127475,0.434046,0.265294
