step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.244933,0.247872,0.131379,0.068690,0.203622,0.194307
1000,0.221847,0.238887,0.839758,0.072404,0.400956,0.257122
2000,0.213225,0.237508,0.809371,0.098693,0.440995,0.261256
3000,0.206802,0.238716,0.807090,0.110498,0.449730,0.257050
4000,0.219456,0.239460,0.811738,0.116406,0.463975,0.264715
5000,0.219871,0.238691,0.797307,0.120298,0.463252,0.258046
6000,0.205750,0.237589,0.818907,0.101968,0.453227,0.262870
7000,0.202319,0.238911,0.810103,0.131600,0.478825,0.261489
8000,0.210982,0.239796,0.821624,0.118732,0.473714,0.273652
9000,0.208013,0.239104,0.820064,0.122797,0.476103,0.270746
10000,0.205297,0.237824,0.817752,0.113317,0.457796,0.263030
11000,0.217416,0.239906,0.811388,0.141554,0.493694,0.266884
12000,0.203075,0.239533,0.820647,0.106806,0.449560,0.263626
13000,0.201178,0.239447,0.806421,0.126972,0.471597,0.266326
14000,0.210059,0.239357,0.801811,0.166455,0.493957,0.264397
15000,0.215179,0.239093,0.797008,0.172166,0.503320,0.267789
16000,0.216861,0.240194,0.802193,0.165199,0.498341,0.265303
17000,0.216162,0.238665,0.802866,0.195929,0.503954,0.265459
18000,0.187752,0.238372,0.804740,0.147890,0.466210,0.261763
19000,0.200988,0.240264,0.792969,0.252074,0.541036,0.268786
20000,0.194075,0.240719,0.791119,0.249877,0.550889,0.275228
21000,0.189563,0.239577,0.790002,0.245079,0.537505,0.269930
22000,0.169829,0.240003,0.788309,0.245458,0.517030,0.263924
23000,0.176351,0.239509,0.784731,0.253399,0.540775,0.269066
24000,0.169310,0.239506,0.792712,0.265399,0.546872,0.277987
25000,0.138617,0.236938,0.770804,0.358761,0.560991,0.267935
26000,0.139831,0.237383,0.779485,0.375386,0.562921,0.266781
27000,0.230219,0.239671,0.782697,0.257747,0.550532,0.278863
28000,0.178143,0.240898,0.772131,0.366432,0.589147,0.273531
29000,0.181376,0.240721,0.777475,0.401226,0.614513,0.282373
30000,0.182186,0.239759,0.788955,0.342165,0.568838,0.276750
31000,0.158940,0.239110,0.786121,0.281115,0.558867,0.276227
32000,0.186634,0.238957,0.775116,0.323611,0.554709,0.276416
33000,0.135616,0.237730,0.770176,0.244018,0.517631,0.264975
34000,0.057858,0.239442,0.752815,0.428094,0.625598,0.286795
35000,0.218350,0.237108,0.764370,0.396221,0.603510,0.275418
36000,0.161069,0.240953,0.775651,0.302774,0.563106,0.276724
