step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.244220,0.245045,0.093932,0.088404,0.226265,0.214571
1000,0.218077,0.239219,0.322712,0.179636,0.388064,0.227742
2000,0.213153,0.239574,0.483686,0.206896,0.449282,0.238457
3000,0.208803,0.239442,0.534838,0.201711,0.463696,0.242485
4000,0.222380,0.239402,0.540074,0.217556,0.475274,0.232406
5000,0.214400,0.239119,0.566372,0.191616,0.461751,0.233660
6000,0.202625,0.239259,0.572690,0.221105,0.491005,0.237667
7000,0.199888,0.238939,0.596153,0.215122,0.474557,0.233139
8000,0.225569,0.239330,0.593043,0.227386,0.492538,0.238300
9000,0.216930,0.239600,0.595239,0.210876,0.481346,0.236070
10000,0.220353,0.238975,0.599065,0.233733,0.489996,0.235770
11000,0.203459,0.239374,0.596568,0.216780,0.482810,0.234102
12000,0.209510,0.239088,0.587853,0.243120,0.502864,0.236441
13000,0.217324,0.239297,0.603514,0.212833,0.481661,0.235166
14000,0.193388,0.239545,0.608070,0.210048,0.479382,0.236754
15000,0.195800,0.239499,0.605913,0.225730,0.477073,0.233161
16000,0.185169,0.239117,0.580031,0.236064,0.495408,0.231669
17000,0.176157,0.239433,0.584852,0.269925,0.511505,0.237987
18000,0.191689,0.238791,0.576035,0.334070,0.553957,0.241468
19000,0.216803,0.238507,0.578828,0.446300,0.571838,0.240209
20000,0.188865,0.238780,0.570988,0.402407,0.562510,0.235736
21000,0.158739,0.238807,0.578723,0.381221,0.542273,0.234007
22000,0.186742,0.238937,0.580743,0.347119,0.530129,0.233723
23000,0.134843,0.238660,0.586328,0.352859,0.529094,0.233791
24000,0.133745,0.239244,0.572589,0.399554,0.560894,0.237221
25000,0.222069,0.239949,0.563747,0.688424,0.647367,0.236497
26000,0.157827,0.239771,0.555829,0.478887,0.593323,0.237235
27000,0.164268,0.239492,0.570063,0.467959,0.585134,0.235302
28000,0.174974,0.238848,0.573211,0.381542,0.562326,0.239639
29000,0.164299,0.238458,0.535123,0.572550,0.638650,0.236977
30000,0.137585,0.238268,0.588856,0.351354,0.531153,0.234223
31000,0.191588,0.238400,0.583866,0.430770,0.574080,0.240292
32000,0.141713,0.239259,0.568342,0.390342,0.564362,0.236160
33000,0.148763,0.239187,0.573673,0.466886,0.578074,0.237822
34000,0.174703,0.240123,0.547964,0.542446,0.626195,0.238616
35000,0.165823,0.239385,0.568624,0.491135,0.584448,0.233411
36000,0.139327,0.238536,0.552889,0.499957,0.601137,0.238078
37000,0.161181,0.238641,0.551261,0.585902,0.629919,0.239302
38000,0.119021,0.238663,0.568978,0.459024,0.589238,0.238929
39000,0.186268,0.239366,0.560983,0.471565,0.599629,0.240302
40000,0.142176,0.240340,0.558756,0.506070,0.620142,0.242789
41000,0.131158,0.238713,0.563983,0.505172,0.609624,0.240013
42000,0.104949,0.238813,0.568605,0.452903,0.585308,0.240127
43000,0.074922,0.238246,0.558097,0.481237,0.593544,0.236112
44000,0.176048,0.240274,0.540635,0.631334,0.654591,0.240908
45000,0.088694,0.239310,0.547280,0.561345,0.622633,0.238515
46000,0.115743,0.239108,0.551644,0.451748,0.597644,0.239731
47000,0.041655,0.239417,0.548552,0.574566,0.624470,0.241570
48000,0.116049,0.238804,0.540114,0.633334,0.643068,0.239600
49000,0.128157,0.238518,0.550088,0.463612,0.582054,0.238391
50000,0.117432,0.239217,0.542223,0.685202,0.665065,0.242209
0.531276285648346
