step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.245239,0.243882,-0.306406,0.108885,0.205932,0.202359
1000,0.216287,0.238860,0.741379,0.115308,0.404194,0.233358
2000,0.214935,0.239328,0.660815,0.174994,0.477383,0.236824
3000,0.208230,0.239823,0.703273,0.150018,0.465017,0.246210
4000,0.225074,0.238737,0.715968,0.152404,0.467487,0.249232
5000,0.204255,0.238165,0.675469,0.188879,0.487636,0.242827
6000,0.218070,0.240161,0.713672,0.151704,0.464211,0.247510
7000,0.218265,0.238347,0.668146,0.196948,0.508589,0.245158
8000,0.215199,0.239451,0.697204,0.168590,0.476401,0.242322
9000,0.227276,0.238627,0.691657,0.190495,0.497401,0.250797
10000,0.214534,0.239152,0.695510,0.169921,0.477422,0.245633
11000,0.210784,0.239396,0.688542,0.171081,0.480491,0.244698
12000,0.201256,0.238997,0.694601,0.186898,0.497592,0.248152
13000,0.198570,0.239456,0.668086,0.215453,0.511542,0.242939
14000,0.197249,0.239635,0.671906,0.243162,0.538649,0.251208
15000,0.205990,0.238948,0.678186,0.232262,0.518183,0.248488
16000,0.206246,0.238997,0.667454,0.324728,0.573034,0.253873
17000,0.182686,0.239424,0.670985,0.258866,0.530035,0.247813
18000,0.173688,0.238430,0.673250,0.309141,0.551001,0.252656
19000,0.151025,0.239037,0.666543,0.287131,0.540358,0.250511
20000,0.165136,0.238462,0.661969,0.294958,0.539897,0.247104
21000,0.172245,0.240200,0.636019,0.427759,0.610275,0.248100
22000,0.167542,0.238419,0.659625,0.318820,0.543753,0.246554
23000,0.149251,0.238956,0.641701,0.386940,0.593128,0.252004
24000,0.149079,0.241123,0.665374,0.412956,0.591908,0.258882
25000,0.157852,0.236459,0.633609,0.522090,0.636960,0.251587
26000,0.143324,0.238332,0.658975,0.382687,0.575155,0.250047
27000,0.179949,0.238320,0.626484,0.630341,0.686299,0.256061
28000,0.105280,0.238633,0.639947,0.451770,0.622095,0.255891
29000,0.145811,0.238603,0.636460,0.427393,0.607861,0.256015
30000,0.158998,0.238038,0.638255,0.534107,0.646539,0.253792
31000,0.128870,0.238098,0.634111,0.449045,0.613444,0.250715
32000,0.149625,0.241779,0.653329,0.477534,0.625442,0.263873
33000,0.085456,0.239808,0.622917,0.599950,0.668662,0.252026
34000,0.141343,0.239033,0.643934,0.523705,0.644785,0.261863
35000,0.109402,0.237350,0.640266,0.498318,0.645846,0.257905
36000,0.131678,0.237110,0.635781,0.497253,0.645160,0.259594
37000,0.112423,0.238056,0.644894,0.578308,0.656354,0.255475
38000,0.144697,0.239063,0.607190,0.609527,0.688794,0.254017
39000,0.159939,0.238574,0.640374,0.462272,0.621113,0.257867
40000,0.115078,0.237679,0.647474,0.474540,0.619469,0.260650
41000,0.105900,0.237006,0.632452,0.503916,0.634180,0.257696
42000,0.169746,0.237211,0.613963,0.650316,0.679964,0.251832
43000,0.127181,0.231434,0.647982,0.493673,0.622600,0.260870
44000,0.113469,0.239280,0.613474,0.475180,0.626682,0.253357
45000,0.117949,0.239206,0.632581,0.480189,0.630157,0.259153
46000,0.093380,0.239454,0.626891,0.572158,0.678399,0.263784
47000,0.101242,0.237234,0.637968,0.467454,0.620676,0.255228
48000,0.106619,0.196104,0.635239,0.443615,0.600441,0.255344
49000,0.069885,0.238196,0.606370,0.550855,0.654206,0.253088
50000,0.149116,0.238782,0.628980,0.577031,0.646679,0.258468
0.6383750438690186
