step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.244518,0.245855,-0.160617,0.080261,0.191821,0.179923
1000,0.213216,0.237293,0.886193,0.049655,0.373585,0.254431
2000,0.224454,0.238576,0.861387,0.065916,0.382507,0.251972
3000,0.206716,0.239675,0.874756,0.080323,0.422747,0.266529
4000,0.208928,0.240345,0.881192,0.080830,0.421326,0.272969
5000,0.214351,0.239098,0.852860,0.097743,0.424289,0.255126
6000,0.224375,0.241864,0.860533,0.091092,0.415421,0.258585
7000,0.201149,0.239953,0.877691,0.084508,0.402924,0.263014
8000,0.203306,0.237091,0.874273,0.069935,0.401097,0.261683
9000,0.222071,0.240770,0.866741,0.087957,0.408490,0.261178
10000,0.219449,0.240756,0.862683,0.094042,0.421618,0.260627
11000,0.206922,0.240338,0.867028,0.102553,0.424535,0.262030
12000,0.210834,0.240436,0.868850,0.084102,0.409215,0.258488
13000,0.208930,0.239969,0.866061,0.092798,0.432418,0.265749
14000,0.218771,0.239107,0.864563,0.102104,0.424541,0.263072
15000,0.203584,0.237688,0.862448,0.112125,0.429839,0.261319
16000,0.213532,0.239699,0.857893,0.126991,0.438751,0.257476
17000,0.206764,0.239137,0.869855,0.098960,0.421824,0.261752
18000,0.195737,0.239936,0.863953,0.131137,0.433902,0.261006
19000,0.207789,0.239575,0.867431,0.093470,0.418338,0.263438
20000,0.208848,0.239825,0.868631,0.113447,0.447903,0.269727
21000,0.203290,0.239367,0.862853,0.160293,0.442757,0.263444
22000,0.183827,0.238922,0.857198,0.131906,0.426494,0.260290
23000,0.204442,0.241537,0.855235,0.151183,0.451105,0.262856
24000,0.177167,0.238906,0.847241,0.167374,0.444768,0.258205
25000,0.200942,0.242170,0.856620,0.162664,0.466877,0.270691
26000,0.202049,0.238650,0.863352,0.173606,0.453067,0.264218
27000,0.184332,0.240550,0.852805,0.228969,0.476517,0.266714
28000,0.183292,0.237753,0.850106,0.165216,0.456072,0.261263
29000,0.182813,0.236426,0.856970,0.166252,0.454406,0.264814
30000,0.213619,0.237424,0.855711,0.193930,0.461297,0.263677
31000,0.172032,0.240950,0.858180,0.229361,0.472933,0.266677
32000,0.205584,0.238707,0.857503,0.169579,0.434689,0.262686
33000,0.171335,0.237696,0.848915,0.181031,0.462328,0.264325
34000,0.177599,0.239465,0.857953,0.155552,0.449744,0.268677
35000,0.169432,0.239825,0.840914,0.183821,0.467299,0.265515
36000,0.183340,0.240998,0.864298,0.143648,0.455503,0.269843
37000,0.170868,0.239878,0.855646,0.191010,0.463678,0.264009
38000,0.198725,0.239950,0.874909,0.099442,0.416785,0.264516
39000,0.156073,0.237823,0.858401,0.152787,0.439506,0.261475
40000,0.064739,0.238586,0.858239,0.144373,0.433404,0.265469
41000,0.185247,0.239626,0.853539,0.210297,0.474254,0.265233
42000,0.173819,0.240958,0.856760,0.196117,0.474547,0.270309
43000,0.186566,0.238210,0.844599,0.216447,0.478702,0.268235
44000,0.177659,0.237255,0.861279,0.134231,0.434573,0.265034
45000,0.217021,0.239371,0.850886,0.139450,0.460258,0.269441
46000,0.187684,0.238529,0.851524,0.132323,0.461434,0.271817
47000,0.160652,0.238561,0.849093,0.198224,0.471943,0.267902
48000,0.179145,0.240078,0.853052,0.221896,0.476982,0.269051
49000,0.075300,0.239508,0.859753,0.143698,0.452201,0.270333
50000,0.119223,0.238291,0.853750,0.280931,0.475037,0.266467
0.8550994992256165
