step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.244727,0.245383,-0.002504,0.075713,0.206875,0.181140
1000,0.226156,0.240052,0.877811,0.065896,0.387260,0.249630
2000,0.227330,0.241147,0.889418,0.072467,0.411080,0.260534
3000,0.212542,0.240202,0.862497,0.080230,0.430238,0.262354
4000,0.214929,0.239834,0.875339,0.081815,0.432799,0.265220
5000,0.210702,0.240441,0.877658,0.075586,0.425701,0.265075
6000,0.210562,0.240605,0.871118,0.089291,0.450369,0.268057
7000,0.206691,0.239682,0.862886,0.096359,0.449000,0.263847
8000,0.203429,0.239590,0.865813,0.087531,0.444295,0.265550
9000,0.206836,0.239510,0.868520,0.091103,0.450448,0.266300
10000,0.205255,0.239494,0.861625,0.096201,0.443935,0.262762
11000,0.214398,0.239534,0.855281,0.100454,0.455980,0.264867
12000,0.211819,0.240295,0.864459,0.090337,0.449192,0.268042
13000,0.206966,0.241681,0.867786,0.100041,0.457219,0.271425
14000,0.204256,0.239642,0.856313,0.108046,0.456283,0.264340
15000,0.206545,0.237641,0.866804,0.103281,0.462693,0.271973
16000,0.205559,0.240572,0.855788,0.108822,0.463958,0.269655
17000,0.213433,0.241285,0.858749,0.141536,0.498781,0.277249
18000,0.204423,0.239892,0.863139,0.112430,0.468034,0.271074
19000,0.191655,0.238902,0.852267,0.123117,0.471425,0.272595
20000,0.196925,0.241451,0.867839,0.108996,0.478597,0.284492
21000,0.181919,0.240667,0.853523,0.147509,0.501387,0.278948
22000,0.168256,0.238331,0.851116,0.133478,0.470136,0.270397
23000,0.182198,0.237645,0.847602,0.140411,0.469320,0.270082
24000,0.182359,0.237813,0.845141,0.178309,0.499664,0.275137
25000,0.195093,0.242815,0.850747,0.236113,0.532054,0.285185
26000,0.176861,0.240230,0.840834,0.255985,0.564671,0.284649
27000,0.198976,0.240685,0.838304,0.216576,0.519267,0.277581
28000,0.174213,0.239380,0.846649,0.183810,0.489817,0.278528
29000,0.180233,0.237282,0.832089,0.227103,0.520599,0.277452
30000,0.175115,0.237929,0.842583,0.212698,0.532852,0.290870
31000,0.176797,0.240425,0.835756,0.172412,0.491957,0.273451
32000,0.097866,0.235658,0.843871,0.177605,0.503089,0.283178
33000,0.166312,0.238405,0.837799,0.235940,0.545109,0.284593
34000,0.136993,0.237505,0.848717,0.244623,0.547266,0.290828
35000,0.159693,0.243096,0.838526,0.244234,0.538799,0.288573
36000,0.189678,0.242700,0.840980,0.237719,0.528411,0.284339
37000,0.153999,0.241406,0.832205,0.247975,0.541315,0.291521
38000,0.134803,0.241540,0.825146,0.252392,0.528167,0.280796
39000,0.158161,0.242256,0.828656,0.259029,0.554750,0.291012
40000,0.077576,0.237265,0.821617,0.291910,0.568299,0.288129
41000,0.117587,0.234579,0.835808,0.228766,0.523283,0.280729
42000,0.188168,0.242368,0.822505,0.251384,0.535333,0.282676
43000,0.146159,0.239692,0.810961,0.286160,0.541487,0.275741
44000,0.090648,0.238060,0.820973,0.313089,0.568680,0.286033
45000,0.139687,0.241186,0.809931,0.310411,0.580139,0.287145
46000,0.172687,0.240602,0.817111,0.277789,0.555775,0.287624
47000,0.219148,0.237462,0.827490,0.207584,0.508365,0.276231
48000,0.156564,0.237647,0.824726,0.308600,0.568736,0.287385
49000,0.145361,0.242460,0.816053,0.285135,0.550924,0.285513
50000,0.131754,0.237565,0.825213,0.192094,0.504272,0.273720
0.8169689178466797
