step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.245697,0.243468,0.036525,0.060018,0.168608,0.183789
1000,0.214031,0.241139,0.908195,0.057633,0.414355,0.279386
2000,0.214429,0.239448,0.914881,0.067058,0.414486,0.277623
3000,0.215643,0.241250,0.902868,0.077476,0.424076,0.277169
4000,0.214780,0.238246,0.916462,0.065279,0.398029,0.270412
5000,0.214572,0.240959,0.908118,0.069361,0.416097,0.273330
6000,0.226184,0.240765,0.901966,0.083140,0.429075,0.275429
7000,0.203774,0.238280,0.897222,0.090667,0.440446,0.277919
8000,0.196158,0.239441,0.904027,0.076849,0.424833,0.273292
9000,0.204158,0.237182,0.899365,0.094467,0.428329,0.271191
10000,0.213290,0.239882,0.897716,0.091046,0.426809,0.271643
11000,0.210062,0.239222,0.901664,0.069579,0.404526,0.266467
12000,0.199509,0.238320,0.911253,0.073158,0.416401,0.273759
13000,0.219605,0.240323,0.901908,0.090580,0.437512,0.279381
14000,0.205283,0.238366,0.903118,0.080966,0.422582,0.273267
15000,0.194586,0.238445,0.902443,0.070268,0.410762,0.272091
16000,0.206766,0.237888,0.901338,0.092022,0.443393,0.280780
17000,0.214060,0.240714,0.906073,0.075088,0.419815,0.278109
18000,0.184241,0.236757,0.900777,0.079148,0.414043,0.269925
19000,0.218258,0.241924,0.897582,0.106779,0.447347,0.278759
20000,0.202895,0.239972,0.889292,0.146306,0.466207,0.279360
21000,0.192645,0.239089,0.900814,0.118470,0.430691,0.270883
22000,0.188841,0.240727,0.892980,0.130903,0.454101,0.275520
23000,0.200050,0.239259,0.899504,0.105303,0.428673,0.274396
24000,0.208876,0.240145,0.900893,0.124846,0.457886,0.286548
25000,0.193287,0.237012,0.899701,0.140399,0.440753,0.274089
26000,0.200160,0.239470,0.898423,0.115330,0.454805,0.284671
27000,0.190636,0.237505,0.892888,0.129856,0.459461,0.284810
28000,0.195358,0.240059,0.882458,0.133943,0.453630,0.277511
29000,0.189330,0.242389,0.888502,0.113069,0.447066,0.278843
30000,0.185596,0.237414,0.885335,0.151319,0.485513,0.289761
31000,0.174417,0.239084,0.896976,0.108968,0.443897,0.281883
32000,0.183714,0.238273,0.890941,0.154222,0.461495,0.280076
33000,0.198979,0.242761,0.892061,0.159861,0.487055,0.285344
34000,0.205064,0.238912,0.895352,0.132354,0.439393,0.280541
35000,0.188731,0.241669,0.891242,0.153999,0.480431,0.289509
36000,0.185908,0.242112,0.895788,0.133251,0.472959,0.294912
37000,0.180939,0.239246,0.897069,0.108242,0.453547,0.289216
38000,0.176097,0.239378,0.887427,0.153754,0.472454,0.280991
39000,0.185127,0.245520,0.879339,0.140530,0.474111,0.283634
40000,0.194129,0.239334,0.891755,0.123292,0.447316,0.287235
41000,0.186900,0.237343,0.896152,0.115224,0.442694,0.279655
42000,0.179722,0.239737,0.890803,0.088636,0.433699,0.279584
43000,0.169713,0.237334,0.900719,0.105705,0.427714,0.277038
44000,0.170582,0.234274,0.889218,0.115296,0.433369,0.273628
45000,0.209984,0.241574,0.883266,0.145905,0.464495,0.282270
46000,0.193106,0.238517,0.884726,0.131775,0.468131,0.282578
47000,0.077852,0.239298,0.885088,0.096270,0.426826,0.280362
48000,0.186804,0.242670,0.895698,0.135850,0.459698,0.289879
49000,0.178150,0.235016,0.879106,0.142207,0.467919,0.281574
50000,0.168430,0.246912,0.890717,0.177774,0.488282,0.288794
0.8911162614822388
