step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.250103,0.245996,0.135650,0.054056,0.190404,0.160811
1000,0.215658,0.239160,0.204876,0.222821,0.422643,0.230526
2000,0.214381,0.238565,0.375332,0.209963,0.440229,0.230505
3000,0.209504,0.239165,0.470829,0.230026,0.469482,0.236895
4000,0.201160,0.238840,0.531079,0.219869,0.482771,0.235691
5000,0.206705,0.238926,0.550196,0.214186,0.483568,0.238334
6000,0.205309,0.240222,0.559466,0.233336,0.494507,0.238126
7000,0.218760,0.239611,0.540388,0.264094,0.529605,0.241040
8000,0.199710,0.238746,0.579771,0.196049,0.466916,0.237378
9000,0.211811,0.239032,0.597187,0.196815,0.462473,0.235094
10000,0.199142,0.239242,0.573191,0.241155,0.507331,0.236159
11000,0.207478,0.238851,0.573205,0.243203,0.507754,0.235476
12000,0.212635,0.238587,0.569095,0.251891,0.513887,0.238473
13000,0.210897,0.239135,0.564574,0.280178,0.524217,0.234882
14000,0.205006,0.239001,0.559825,0.316960,0.542516,0.239713
15000,0.189689,0.238660,0.595713,0.238709,0.492315,0.237038
16000,0.210221,0.239208,0.567717,0.334728,0.541503,0.237902
17000,0.183225,0.239041,0.564235,0.391734,0.569586,0.239846
18000,0.158195,0.239303,0.590798,0.287324,0.508640,0.238330
19000,0.156189,0.239597,0.572621,0.285332,0.518525,0.236034
20000,0.147592,0.238308,0.605004,0.356538,0.532462,0.238879
21000,0.188803,0.240222,0.590348,0.439474,0.575738,0.237526
22000,0.182286,0.238322,0.585142,0.440867,0.580270,0.241999
23000,0.131684,0.239397,0.596067,0.476043,0.586256,0.238975
24000,0.158635,0.239116,0.589360,0.409836,0.579811,0.240576
25000,0.149578,0.238796,0.576356,0.478813,0.608434,0.241163
26000,0.155069,0.239058,0.589858,0.324822,0.553415,0.240219
27000,0.162595,0.237850,0.586440,0.443129,0.583615,0.242704
28000,0.170134,0.239130,0.601701,0.429364,0.583382,0.245182
29000,0.129791,0.239299,0.579266,0.456633,0.589735,0.241280
30000,0.136716,0.238328,0.589953,0.465054,0.595777,0.241514
31000,0.128358,0.239116,0.577372,0.473456,0.604345,0.240003
32000,0.124038,0.238779,0.590930,0.518720,0.607258,0.237791
33000,0.168879,0.240262,0.560432,0.663250,0.682564,0.244838
34000,0.096668,0.239098,0.574939,0.519441,0.620381,0.242321
35000,0.153033,0.239420,0.584103,0.400501,0.587691,0.248003
36000,0.144067,0.240023,0.594206,0.557884,0.624620,0.244441
37000,0.111220,0.237436,0.601029,0.542030,0.613789,0.244098
38000,0.140431,0.239646,0.587208,0.540795,0.631644,0.248343
