step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.245288,0.246391,0.138675,0.071856,0.195276,0.212573
1000,0.221083,0.239215,0.180366,0.240777,0.410702,0.236728
2000,0.209978,0.238472,0.253766,0.262298,0.436011,0.235099
3000,0.194597,0.238238,0.348383,0.239703,0.422070,0.240391
4000,0.201791,0.238652,0.414446,0.200270,0.407805,0.237087
5000,0.214042,0.239714,0.468358,0.251523,0.446826,0.245717
6000,0.223719,0.239122,0.484931,0.229609,0.444029,0.250574
7000,0.228225,0.239092,0.541487,0.224255,0.436678,0.244358
8000,0.212979,0.238612,0.592973,0.215544,0.437381,0.247371
9000,0.210141,0.238025,0.623208,0.169137,0.406843,0.242364
10000,0.215996,0.239802,0.604375,0.231620,0.453705,0.243620
11000,0.199270,0.239147,0.634303,0.169166,0.409210,0.240015
12000,0.223403,0.239409,0.647476,0.209493,0.431934,0.242403
13000,0.218650,0.238077,0.669920,0.211693,0.429335,0.246357
14000,0.220819,0.238211,0.645809,0.214694,0.452989,0.252263
15000,0.220561,0.238750,0.647392,0.242692,0.457975,0.244030
16000,0.190597,0.238475,0.651747,0.251638,0.460469,0.249530
17000,0.225858,0.239052,0.669168,0.244872,0.465397,0.252840
18000,0.163028,0.238415,0.660889,0.244920,0.457131,0.247845
19000,0.201941,0.238393,0.674100,0.227722,0.436227,0.243936
20000,0.196976,0.238591,0.669955,0.300529,0.467876,0.246546
21000,0.209470,0.239972,0.652510,0.305430,0.486081,0.246865
22000,0.186691,0.238038,0.680951,0.208197,0.427170,0.243903
23000,0.214125,0.239019,0.679559,0.224682,0.449996,0.249450
24000,0.197951,0.239908,0.683581,0.233119,0.455120,0.247587
25000,0.161315,0.238628,0.681496,0.241211,0.458914,0.248794
26000,0.212837,0.239549,0.675308,0.207593,0.437751,0.247279
27000,0.188771,0.239398,0.690535,0.254907,0.446965,0.246486
28000,0.186685,0.238199,0.686346,0.291706,0.469161,0.250479
29000,0.184534,0.239605,0.720166,0.176831,0.427273,0.245521
30000,0.057596,0.238411,0.731422,0.214060,0.425440,0.245556
31000,0.183195,0.237244,0.715228,0.281101,0.461977,0.249786
32000,0.178135,0.238698,0.692789,0.297115,0.482055,0.248178
33000,0.191216,0.238932,0.715948,0.263069,0.456984,0.246930
34000,0.181598,0.239339,0.714402,0.294737,0.467046,0.249468
35000,0.074864,0.238012,0.699749,0.241696,0.463891,0.247571
36000,0.195321,0.239716,0.694779,0.336544,0.487129,0.248465
37000,0.196511,0.238878,0.692776,0.277123,0.472651,0.250677
38000,0.177696,0.238251,0.702887,0.220758,0.448322,0.245384
39000,0.179993,0.239895,0.693396,0.257804,0.479410,0.253393
40000,0.215275,0.237636,0.706962,0.240459,0.465501,0.250985
41000,0.169510,0.239239,0.669578,0.455167,0.539993,0.252904
42000,0.163720,0.237875,0.732073,0.161371,0.420649,0.248253
43000,0.176491,0.239047,0.687136,0.327742,0.510042,0.256986
44000,0.179053,0.237514,0.688302,0.331667,0.483535,0.244997
45000,0.207921,0.240053,0.701568,0.265566,0.461181,0.250521
46000,0.158197,0.238621,0.676924,0.223204,0.446088,0.247905
47000,0.183244,0.238980,0.659175,0.319764,0.483405,0.250422
48000,0.171470,0.239229,0.692988,0.216902,0.433191,0.248147
49000,0.188394,0.238243,0.654853,0.278832,0.471493,0.253011
50000,0.166942,0.238798,0.686154,0.178303,0.423920,0.246766
0.6700587272644043
