step,loss_s,loss_l,cos_sim,mse,norm_short,norm_long
1,0.246447,0.245908,-0.188076,0.082615,0.182066,0.189820
1000,0.212819,0.238280,0.840292,0.080571,0.393706,0.245077
2000,0.207362,0.236589,0.847601,0.090795,0.405291,0.250484
3000,0.226370,0.239646,0.826671,0.152807,0.434593,0.245968
4000,0.220757,0.239096,0.830279,0.125708,0.438682,0.260318
5000,0.215927,0.238611,0.818845,0.115289,0.422780,0.245601
6000,0.224106,0.240922,0.840813,0.130984,0.434783,0.254601
7000,0.222551,0.239044,0.836555,0.124483,0.433497,0.253403
8000,0.211209,0.239209,0.848460,0.099184,0.410652,0.254276
9000,0.207047,0.237342,0.858573,0.122431,0.420052,0.257575
10000,0.202261,0.238963,0.843565,0.117643,0.425946,0.255135
11000,0.223368,0.239648,0.834686,0.152711,0.448507,0.257182
12000,0.217555,0.238664,0.857308,0.108851,0.406026,0.252875
13000,0.211265,0.239317,0.841157,0.110474,0.419031,0.254171
14000,0.195199,0.238476,0.838527,0.102594,0.409564,0.248629
15000,0.197094,0.237993,0.849895,0.118824,0.414100,0.256022
16000,0.204887,0.238714,0.845272,0.144848,0.430010,0.256582
17000,0.207595,0.238884,0.845991,0.126551,0.426327,0.255264
18000,0.221168,0.240482,0.829639,0.154478,0.447262,0.253507
19000,0.220940,0.239064,0.832069,0.183409,0.456044,0.254451
20000,0.198294,0.237595,0.830884,0.166202,0.433889,0.250074
21000,0.205222,0.239199,0.841416,0.144814,0.429711,0.254264
22000,0.226600,0.239232,0.816792,0.295316,0.517351,0.262852
23000,0.184651,0.238195,0.839474,0.151350,0.427936,0.252932
24000,0.221779,0.241430,0.837361,0.157444,0.434680,0.256332
25000,0.199900,0.239665,0.846367,0.121157,0.412292,0.250232
26000,0.180721,0.241073,0.844211,0.162913,0.427806,0.251578
27000,0.219343,0.241005,0.829118,0.243103,0.487378,0.261451
28000,0.158967,0.238477,0.833283,0.119902,0.426021,0.256333
29000,0.170347,0.240365,0.840194,0.101037,0.412711,0.250826
30000,0.180393,0.238092,0.840688,0.184062,0.448511,0.257424
31000,0.179012,0.237655,0.840870,0.099756,0.420777,0.255178
32000,0.190049,0.239194,0.830334,0.195031,0.455619,0.256353
33000,0.214412,0.238787,0.827816,0.230470,0.462782,0.252943
34000,0.183775,0.237454,0.838571,0.194500,0.433631,0.255015
35000,0.194621,0.237701,0.840953,0.156134,0.442959,0.260123
36000,0.166201,0.238448,0.843185,0.162721,0.425216,0.252317
37000,0.172169,0.238892,0.843296,0.185646,0.461816,0.261024
38000,0.214836,0.238896,0.834738,0.138544,0.428116,0.254044
39000,0.210259,0.239270,0.833457,0.209762,0.455871,0.255214
40000,0.073022,0.238799,0.845385,0.234374,0.472365,0.265335
41000,0.104945,0.239075,0.835839,0.230537,0.469362,0.259892
42000,0.199460,0.239286,0.842029,0.195265,0.437909,0.252892
43000,0.118641,0.240434,0.837288,0.221081,0.435928,0.251346
44000,0.054824,0.238757,0.841404,0.170076,0.440465,0.257768
45000,0.198784,0.239538,0.835491,0.167010,0.444242,0.255436
46000,0.184006,0.238221,0.823612,0.182351,0.451590,0.254230
47000,0.182768,0.240097,0.831262,0.290243,0.488145,0.259841
48000,0.236956,0.238795,0.830821,0.154482,0.432646,0.254205
49000,0.176861,0.238942,0.823882,0.293772,0.486520,0.258013
50000,0.178631,0.237557,0.830326,0.187641,0.449472,0.257104
0.8295831680297852
