env,tag,w_neg,c_neg,reg_neg,rnn_type,discount_short,discount_long,lr,n_states,n_obs,max_alias,ceiling,overlap_alias_eig,overlap_short,overlap_long,overlap_cross,window_len,overlap_short_windowed,overlap_long_windowed,raw_cos,aligned_cos,erank_short,erank_long,rho_gt,rho_short,rho_long,rho_concat,rho_pixels
OneRoom,"0000_window_len=1_w_neg=5.0_c_neg=1.0_reg_neg=0.0_discount=[0.1,0.9]_lr=0.0001_rnn_type=LSTM",5.0,1.0,0.0,LSTM,0.1,0.9,0.0001,225,25,121,0.3091533796842889,0.30902854478282715,0.3067172216787614,0.283756066520629,0.7913021,1,0.3067172216787614,0.283756066520629,0.11861280351877213,0.7476434707641602,6.0277509689331055,4.454990863800049,0.09263681920138013,0.7068432171326179,-0.02503476864881653,0.7068432171326179,0.7251996043390727
OneRoom,"0001_window_len=1_w_neg=5.0_c_neg=1.0_reg_neg=0.0_discount=[0.1,0.9]_lr=0.0001_rnn_type=GRU",5.0,1.0,0.0,GRU,0.1,0.9,0.0001,225,25,121,0.3091533796842889,0.30902854478282715,0.30661102907888427,0.29618616990578933,0.84202397,1,0.30661102907888427,0.29618616990578933,-0.087644562125206,0.8948569893836975,6.2892327308654785,3.436458110809326,0.09263681920138013,0.7121071673865593,0.5915754530477031,0.7121071673865593,0.7251996043390727
OneRoom,"0002_window_len=1_w_neg=5.0_c_neg=1.0_reg_neg=0.0_discount=[0.1,0.9]_lr=0.001_rnn_type=LSTM",5.0,1.0,0.0,LSTM,0.1,0.9,0.001,225,25,121,0.3091533796842889,0.30902854478282715,0.30651606645608465,0.21169285493990606,0.78479606,1,0.30651606645608465,0.21169285493990606,0.14066201448440552,0.22330784797668457,6.586032867431641,3.864872694015503,0.09263681920138013,0.7069299161387639,0.15817657922961106,0.7069299161387639,0.7251996043390727
OneRoom,"0003_window_len=1_w_neg=5.0_c_neg=1.0_reg_neg=0.0_discount=[0.1,0.9]_lr=0.001_rnn_type=GRU",5.0,1.0,0.0,GRU,0.1,0.9,0.001,225,25,121,0.3091533796842889,0.30902854478282715,0.30701337331971884,0.15658728121649446,0.29520214,1,0.30701337331971884,0.15658728121649446,-0.11158604919910431,0.09642580896615982,6.393113613128662,1.0,0.09263681920138013,0.7059733562431415,nan,0.7059733562431415,0.7251996043390727
OneRoom,"0004_window_len=1_w_neg=5.0_c_neg=1.0_reg_neg=0.0_discount=[0.3,0.7]_lr=0.0001_rnn_type=LSTM",5.0,1.0,0.0,LSTM,0.3,0.7,0.0001,225,25,121,0.3091533796842889,0.30902854478282715,0.30690511168684703,0.30234073881519996,0.85800666,1,0.30690511168684703,0.30234073881519996,0.31631341576576233,0.9632760882377625,5.125877380371094,3.0890400409698486,0.09263681920138013,0.7202562997986656,0.7323895673342553,0.7252762296710705,0.7251996043390727
OneRoom,"0005_window_len=1_w_neg=5.0_c_neg=1.0_reg_neg=0.0_discount=[0.3,0.7]_lr=0.0001_rnn_type=GRU",5.0,1.0,0.0,GRU,0.3,0.7,0.0001,225,25,121,0.3091533796842889,0.30902854478282715,0.30736254229756976,0.3025544345963064,0.8624182,1,0.30736254229756976,0.3025544345963064,0.1882944107055664,0.9353951215744019,5.179656982421875,2.8078744411468506,0.09263681920138013,0.7070734575396677,0.7373899755761376,0.7138463149999088,0.7251996043390727
OneRoom,"0006_window_len=1_w_neg=5.0_c_neg=1.0_reg_neg=0.0_discount=[0.3,0.7]_lr=0.001_rnn_type=LSTM",5.0,1.0,0.0,LSTM,0.3,0.7,0.001,225,25,121,0.3091533796842889,0.30902854478282715,0.3066173684600605,0.3077756917198961,0.8933902,1,0.3066173684600605,0.3077756917198961,0.1652461737394333,0.7891644239425659,5.229743003845215,2.5543761253356934,0.09263681920138013,0.7042973668461896,0.7400805155946769,0.7101423726909892,0.7251996043390727
OneRoom,"0007_window_len=1_w_neg=5.0_c_neg=1.0_reg_neg=0.0_discount=[0.3,0.7]_lr=0.001_rnn_type=GRU",5.0,1.0,0.0,GRU,0.3,0.7,0.001,225,25,121,0.3091533796842889,0.30902854478282715,0.3074008895865369,0.3085014028019707,0.9144684,1,0.3074008895865369,0.3085014028019707,-0.05091762915253639,0.9457699656486511,5.676689147949219,3.080841064453125,0.09263681920138013,0.707959969231649,0.7424403362255342,0.7142407667695923,0.7251996043390727
OneRoom,"0008_window_len=1_w_neg=5.0_c_neg=1.0_reg_neg=0.1_discount=[0.1,0.9]_lr=0.0001_rnn_type=LSTM",5.0,1.0,0.1,LSTM,0.1,0.9,0.0001,225,25,121,0.3091533796842889,0.30902854478282715,0.3067450028602918,0.2847582050212088,0.80415994,1,0.3067450028602918,0.2847582050212088,-0.08128601312637329,0.38735345005989075,6.575033187866211,1.002234697341919,0.09263681920138013,0.7087327961341146,0.7384246219938514,0.7087327961341146,0.7251996043390727
OneRoom,"0009_window_len=1_w_neg=5.0_c_neg=1.0_reg_neg=0.1_discount=[0.1,0.9]_lr=0.0001_rnn_type=GRU",5.0,1.0,0.1,GRU,0.1,0.9,0.0001,225,25,121,0.3091533796842889,0.30902854478282715,0.30673435904190144,0.30285323710458745,0.83583975,1,0.30673435904190144,0.30285323710458745,-0.03431239724159241,0.7360590696334839,6.420539855957031,1.4351892471313477,0.09263681920138013,0.7071113524695062,0.7245148860806772,0.7071113524695062,0.7251996043390727
